ward,precinct,total,TRACEY Y BEY,TRACEY Y BEY Percent,WILLIAM D. BURNS,WILLIAM D. BURNS Percent,NORMAN H BOLDEN,NORMAN H BOLDEN Percent,precinct_id
4,1,333,73,21.92,133,39.94,127,38.14,04001
4,2,246,67,27.24,145,58.94,34,13.82,04002
4,3,251,86,34.26,149,59.36,16,6.37,04003
4,4,344,94,27.33,178,51.74,72,20.93,04004
4,5,318,55,17.3,123,38.68,140,44.03,04005
4,6,393,91,23.16,225,57.25,77,19.59,04006
4,7,360,75,20.83,159,44.17,126,35.0,04007
4,8,353,98,27.76,178,50.42,77,21.81,04008
4,9,453,102,22.52,238,52.54,113,24.94,04009
4,10,335,83,24.78,179,53.43,73,21.79,04010
4,11,284,71,25.0,163,57.39,50,17.61,04011
4,12,286,80,27.97,152,53.15,54,18.88,04012
4,13,123,47,38.21,62,50.41,14,11.38,04013
4,14,296,73,24.66,184,62.16,39,13.18,04014
4,15,351,97,27.64,196,55.84,58,16.52,04015
4,16,212,42,19.81,134,63.21,36,16.98,04016
4,17,237,73,30.8,133,56.12,31,13.08,04017
4,18,299,83,27.76,135,45.15,81,27.09,04018
4,19,256,76,29.69,143,55.86,37,14.45,04019
4,20,266,72,27.07,163,61.28,31,11.65,04020
4,21,215,77,35.81,122,56.74,16,7.44,04021
4,22,316,46,14.56,186,58.86,84,26.58,04022
4,23,356,72,20.22,201,56.46,83,23.31,04023
4,24,256,59,23.05,161,62.89,36,14.06,04024
4,25,217,68,31.34,131,60.37,18,8.29,04025
4,26,318,119,37.42,168,52.83,31,9.75,04026
4,27,301,81,26.91,162,53.82,58,19.27,04027
4,28,318,79,24.84,207,65.09,32,10.06,04028
4,29,241,82,34.02,106,43.98,53,21.99,04029
4,30,333,71,21.32,197,59.16,65,19.52,04030
4,31,376,31,8.24,263,69.95,82,21.81,04031
4,32,275,62,22.55,163,59.27,50,18.18,04032
4,33,325,113,34.77,164,50.46,48,14.77,04033
4,34,263,59,22.43,119,45.25,85,32.32,04034
4,35,381,79,20.73,224,58.79,78,20.47,04035
4,36,322,89,27.64,196,60.87,37,11.49,04036
4,37,270,64,23.7,171,63.33,35,12.96,04037
4,38,350,73,20.86,240,68.57,37,10.57,04038
