ward,precinct,total,MARILYN MORALES,MARILYN MORALES Percent,JOHN S. ARENA,JOHN S. ARENA Percent,JAMES ''JIM'' GARDINER,JAMES ''JIM'' GARDINER Percent,ROBERT A. BANK,ROBERT A. BANK Percent,precinct_id
45,1,250,23,9.2,194,77.6,31,12.4,2,0.8,45001
45,2,263,32,12.17,186,70.72,40,15.21,5,1.9,45002
45,3,299,30,10.03,175,58.53,88,29.43,6,2.01,45003
45,4,405,35,8.64,249,61.48,114,28.15,7,1.73,45004
45,5,339,32,9.44,190,56.05,108,31.86,9,2.65,45005
45,6,479,38,7.93,265,55.32,168,35.07,8,1.67,45006
45,7,461,42,9.11,200,43.38,212,45.99,7,1.52,45007
45,8,308,38,12.34,145,47.08,113,36.69,12,3.9,45008
45,9,299,46,15.38,144,48.16,103,34.45,6,2.01,45009
45,10,341,45,13.2,143,41.94,146,42.82,7,2.05,45010
45,11,216,17,7.87,108,50.0,89,41.2,2,0.93,45011
45,12,276,40,14.49,121,43.84,102,36.96,13,4.71,45012
45,13,313,22,7.03,174,55.59,106,33.87,11,3.51,45013
45,14,388,33,8.51,179,46.13,159,40.98,17,4.38,45014
45,15,441,35,7.94,194,43.99,202,45.8,10,2.27,45015
45,16,310,47,15.16,115,37.1,132,42.58,16,5.16,45016
45,17,377,25,6.63,171,45.36,153,40.58,28,7.43,45017
45,18,311,26,8.36,114,36.66,151,48.55,20,6.43,45018
45,19,154,23,14.94,72,46.75,54,35.06,5,3.25,45019
45,20,221,24,10.86,87,39.37,95,42.99,15,6.79,45020
45,21,324,34,10.49,91,28.09,192,59.26,7,2.16,45021
45,22,269,14,5.2,72,26.77,155,57.62,28,10.41,45022
45,23,316,37,11.71,81,25.63,178,56.33,20,6.33,45023
45,24,286,7,2.45,68,23.78,206,72.03,5,1.75,45024
45,25,243,16,6.58,51,20.99,172,70.78,4,1.65,45025
45,26,193,7,3.63,46,23.83,127,65.8,13,6.74,45026
45,27,330,29,8.79,82,24.85,210,63.64,9,2.73,45027
45,28,278,30,10.79,92,33.09,147,52.88,9,3.24,45028
45,29,230,19,8.26,74,32.17,124,53.91,13,5.65,45029
45,30,282,30,10.64,124,43.97,109,38.65,19,6.74,45030
45,31,257,31,12.06,104,40.47,107,41.63,15,5.84,45031
45,32,274,37,13.5,98,35.77,133,48.54,6,2.19,45032
45,33,235,30,12.77,91,38.72,106,45.11,8,3.4,45033
45,34,358,64,17.88,87,24.3,186,51.96,21,5.87,45034
45,35,400,42,10.5,125,31.25,221,55.25,12,3.0,45035
45,36,376,25,6.65,114,30.32,215,57.18,22,5.85,45036
45,37,322,28,8.7,91,28.26,164,50.93,39,12.11,45037
45,38,300,25,8.33,58,19.33,204,68.0,13,4.33,45038
45,39,329,31,9.42,62,18.84,217,65.96,19,5.78,45039
45,40,333,30,9.01,67,20.12,227,68.17,9,2.7,45040
45,41,311,18,5.79,55,17.68,234,75.24,4,1.29,45041
45,42,360,18,5.0,57,15.83,284,78.89,1,0.28,45042
45,43,362,10,2.76,98,27.07,242,66.85,12,3.31,45043
45,44,414,18,4.35,56,13.53,332,80.19,8,1.93,45044
45,45,241,15,6.22,41,17.01,177,73.44,8,3.32,45045
45,46,236,16,6.78,51,21.61,160,67.8,9,3.81,45046
45,47,243,11,4.53,55,22.63,173,71.19,4,1.65,45047
45,48,305,28,9.18,65,21.31,202,66.23,10,3.28,45048
