ward,precinct,total,Eric Pulia,Eric Pulia Percent,precinct_id
28,1,1,1,100.0,28001
28,2,3,3,100.0,28002
28,3,0,0,0.0,28003
28,4,8,8,100.0,28004
28,5,3,3,100.0,28005
28,6,2,2,100.0,28006
28,7,1,1,100.0,28007
28,8,9,9,100.0,28008
28,9,2,2,100.0,28009
28,10,7,7,100.0,28010
28,11,10,10,100.0,28011
28,12,1,1,100.0,28012
28,13,2,2,100.0,28013
28,14,2,2,100.0,28014
28,15,0,0,0.0,28015
28,16,1,1,100.0,28016
28,17,0,0,0.0,28017
28,18,0,0,0.0,28018
28,19,1,1,100.0,28019
28,20,0,0,0.0,28020
28,21,2,2,100.0,28021
28,22,0,0,0.0,28022
28,23,3,3,100.0,28023
28,24,2,2,100.0,28024
28,25,3,3,100.0,28025
28,26,2,2,100.0,28026
28,27,6,6,100.0,28027
28,28,11,11,100.0,28028
28,29,3,3,100.0,28029
28,30,0,0,0.0,28030
28,31,0,0,0.0,28031
28,32,2,2,100.0,28032
28,33,1,1,100.0,28033
28,34,6,6,100.0,28034
28,35,0,0,0.0,28035
28,36,0,0,0.0,28036
28,37,0,0,0.0,28037
28,38,0,0,0.0,28038
28,39,0,0,0.0,28039
28,40,2,2,100.0,28040
28,41,0,0,0.0,28041
28,42,0,0,0.0,28042
28,43,0,0,0.0,28043
28,44,1,1,100.0,28044
28,45,8,8,100.0,28045
28,46,13,13,100.0,28046
