ward,precinct,total,MANNY HOFFMAN (BUSH),MANNY HOFFMAN (BUSH) Percent,SHARON ROBERTS (BUSH),SHARON ROBERTS (BUSH) Percent,MILDRED J. THOMPSON (FORBES),MILDRED J. THOMPSON (FORBES) Percent,JOSEPHINE B. THORNHILL (FORBES),JOSEPHINE B. THORNHILL (FORBES) Percent,PAUL HARVEY (McCAIN),PAUL HARVEY (McCAIN) Percent,JAMES WARREN (McCAIN),JAMES WARREN (McCAIN) Percent,precinct_id
9,18,5,1,20.0,1,20.0,1,20.0,0,0.0,0,0.0,2,40.0,09018
9,19,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,09019
9,22,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,09022
9,23,3,0,0.0,0,0.0,1,33.33,0,0.0,0,0.0,2,66.67,09023
9,24,2,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,1,50.0,09024
9,25,2,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,09025
9,26,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,09026
9,28,6,4,66.67,2,33.33,0,0.0,0,0.0,0,0.0,0,0.0,09028
9,29,4,0,0.0,0,0.0,1,25.0,0,0.0,2,50.0,1,25.0,09029
9,30,4,1,25.0,1,25.0,0,0.0,0,0.0,1,25.0,1,25.0,09030
9,31,20,4,20.0,5,25.0,2,10.0,2,10.0,6,30.0,1,5.0,09031
9,32,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,09032
9,33,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,09033
9,34,2,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,09034
9,36,3,2,66.67,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,09036
9,37,101,27,26.73,29,28.71,4,3.96,4,3.96,18,17.82,19,18.81,09037
9,38,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,09038
9,39,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,09039
9,40,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,09040
9,41,4,1,25.0,1,25.0,0,0.0,0,0.0,1,25.0,1,25.0,09041
9,42,24,5,20.83,9,37.5,5,20.83,4,16.67,0,0.0,1,4.17,09042
9,43,10,3,30.0,5,50.0,0,0.0,1,10.0,0,0.0,1,10.0,09043
9,44,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,09044
9,45,1,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,09045
9,46,4,0,0.0,2,50.0,0,0.0,0,0.0,2,50.0,0,0.0,09046
9,47,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,09047
9,48,4,0,0.0,0,0.0,2,50.0,2,50.0,0,0.0,0,0.0,09048
9,49,1,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,09049
9,50,1,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,09050
10,1,4,1,25.0,1,25.0,0,0.0,1,25.0,0,0.0,1,25.0,10001
10,4,5,1,20.0,1,20.0,0,0.0,1,20.0,1,20.0,1,20.0,10004
10,7,3,1,33.33,0,0.0,1,33.33,1,33.33,0,0.0,0,0.0,10007
10,10,3,1,33.33,1,33.33,0,0.0,1,33.33,0,0.0,0,0.0,10010
10,14,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10014
10,18,8,2,25.0,1,12.5,1,12.5,2,25.0,1,12.5,1,12.5,10018
10,25,13,4,30.77,3,23.08,2,15.38,1,7.69,2,15.38,1,7.69,10025
10,28,7,1,14.29,2,28.57,1,14.29,0,0.0,2,28.57,1,14.29,10028
10,29,5,1,20.0,1,20.0,0,0.0,0,0.0,2,40.0,1,20.0,10029
10,36,2,0,0.0,1,50.0,0,0.0,0,0.0,1,50.0,0,0.0,10036
10,37,6,0,0.0,0,0.0,2,33.33,1,16.67,2,33.33,1,16.67,10037
10,40,7,2,28.57,2,28.57,0,0.0,1,14.29,2,28.57,0,0.0,10040
10,43,3,1,33.33,1,33.33,0,0.0,0,0.0,1,33.33,0,0.0,10043
15,7,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,15007
15,13,4,2,50.0,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,15013
15,15,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15015
15,18,2,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,15018
15,19,2,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,1,50.0,15019
15,21,2,0,0.0,1,50.0,0,0.0,0,0.0,1,50.0,0,0.0,15021
15,31,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15031
15,34,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15034
15,39,5,3,60.0,2,40.0,0,0.0,0,0.0,0,0.0,0,0.0,15039
15,40,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15040
15,44,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15044
15,46,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15046
15,47,4,0,0.0,1,25.0,1,25.0,0,0.0,2,50.0,0,0.0,15047
16,10,10,3,30.0,3,30.0,0,0.0,1,10.0,1,10.0,2,20.0,16010
16,28,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16028
17,1,2,0,0.0,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,17001
17,3,2,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17003
17,4,5,2,40.0,1,20.0,0,0.0,0,0.0,1,20.0,1,20.0,17004
17,5,1,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,17005
17,6,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17006
17,7,4,0,0.0,0,0.0,0,0.0,0,0.0,2,50.0,2,50.0,17007
17,8,4,2,50.0,1,25.0,0,0.0,0,0.0,1,25.0,0,0.0,17008
17,9,2,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,1,50.0,17009
17,10,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17010
17,11,4,1,25.0,1,25.0,1,25.0,1,25.0,0,0.0,0,0.0,17011
17,12,1,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,17012
17,13,3,1,33.33,2,66.67,0,0.0,0,0.0,0,0.0,0,0.0,17013
17,14,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,17014
17,16,2,1,50.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,17016
17,17,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17017
17,18,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17018
17,19,1,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,17019
17,20,5,1,20.0,0,0.0,0,0.0,0,0.0,2,40.0,2,40.0,17020
17,22,4,0,0.0,1,25.0,0,0.0,0,0.0,2,50.0,1,25.0,17022
17,23,2,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,17023
17,24,4,0,0.0,2,50.0,1,25.0,0,0.0,1,25.0,0,0.0,17024
17,26,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17026
17,27,4,1,25.0,1,25.0,0,0.0,1,25.0,0,0.0,1,25.0,17027
17,28,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17028
17,29,1,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,17029
17,30,4,1,25.0,1,25.0,1,25.0,0,0.0,1,25.0,0,0.0,17030
17,31,6,1,16.67,1,16.67,2,33.33,0,0.0,2,33.33,0,0.0,17031
17,32,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17032
17,33,5,0,0.0,1,20.0,2,40.0,1,20.0,0,0.0,1,20.0,17033
17,34,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17034
17,36,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17036
17,37,4,2,50.0,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,17037
17,39,2,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,17039
17,40,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17040
17,41,3,0,0.0,0,0.0,1,33.33,0,0.0,1,33.33,1,33.33,17041
17,42,3,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,17042
17,43,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,17043
17,45,12,3,25.0,3,25.0,0,0.0,3,25.0,0,0.0,3,25.0,17045
17,46,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17046
17,47,2,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,17047
17,49,5,1,20.0,2,40.0,1,20.0,0,0.0,1,20.0,0,0.0,17049
17,51,6,0,0.0,0,0.0,2,33.33,1,16.67,1,16.67,2,33.33,17051
17,52,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17052
17,55,6,3,50.0,3,50.0,0,0.0,0,0.0,0,0.0,0,0.0,17055
18,3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,18003
18,6,5,2,40.0,1,20.0,0,0.0,0,0.0,1,20.0,1,20.0,18006
18,15,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,18015
18,19,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,18019
18,20,5,1,20.0,1,20.0,0,0.0,0,0.0,1,20.0,2,40.0,18020
18,24,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,18024
18,25,6,0,0.0,1,16.67,2,33.33,1,16.67,1,16.67,1,16.67,18025
18,26,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,18026
18,27,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,18027
18,28,3,1,33.33,2,66.67,0,0.0,0,0.0,0,0.0,0,0.0,18028
18,30,2,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,18030
18,32,3,0,0.0,0,0.0,1,33.33,0,0.0,0,0.0,2,66.67,18032
18,38,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,18038
18,39,2,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,18039
18,41,7,2,28.57,3,42.86,1,14.29,0,0.0,0,0.0,1,14.29,18041
18,42,3,1,33.33,1,33.33,0,0.0,0,0.0,1,33.33,0,0.0,18042
18,43,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,18043
18,44,2,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,1,50.0,18044
18,45,7,1,14.29,2,28.57,1,14.29,1,14.29,1,14.29,1,14.29,18045
18,46,5,2,40.0,3,60.0,0,0.0,0,0.0,0,0.0,0,0.0,18046
18,47,3,1,33.33,2,66.67,0,0.0,0,0.0,0,0.0,0,0.0,18047
18,48,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,18048
18,50,1,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,18050
18,51,4,2,50.0,1,25.0,0,0.0,0,0.0,1,25.0,0,0.0,18051
18,52,2,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,18052
18,53,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,18053
18,55,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,18055
18,56,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,18056
18,57,4,2,50.0,1,25.0,1,25.0,0,0.0,0,0.0,0,0.0,18057
18,58,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,18058
18,59,3,1,33.33,1,33.33,0,0.0,1,33.33,0,0.0,0,0.0,18059
18,60,4,1,25.0,1,25.0,0,0.0,0,0.0,1,25.0,1,25.0,18060
18,61,1,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,18061
18,62,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,18062
18,63,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,18063
19,43,7,1,14.29,2,28.57,0,0.0,1,14.29,2,28.57,1,14.29,19043
19,48,4,1,25.0,1,25.0,0,0.0,1,25.0,1,25.0,0,0.0,19048
19,49,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19049
19,50,6,3,50.0,2,33.33,0,0.0,0,0.0,1,16.67,0,0.0,19050
19,60,5,2,40.0,3,60.0,0,0.0,0,0.0,0,0.0,0,0.0,19060
21,1,5,1,20.0,3,60.0,0,0.0,0,0.0,0,0.0,1,20.0,21001
21,3,6,0,0.0,3,50.0,1,16.67,1,16.67,0,0.0,1,16.67,21003
21,4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,21004
21,6,2,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,21006
21,7,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,21007
21,8,4,1,25.0,0,0.0,1,25.0,0,0.0,1,25.0,1,25.0,21008
21,9,4,0,0.0,1,25.0,0,0.0,0,0.0,2,50.0,1,25.0,21009
21,10,4,1,25.0,1,25.0,0,0.0,1,25.0,0,0.0,1,25.0,21010
21,14,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,21014
21,15,2,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,21015
21,16,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,21016
21,18,4,0,0.0,2,50.0,2,50.0,0,0.0,0,0.0,0,0.0,21018
21,19,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,21019
21,21,4,2,50.0,1,25.0,0,0.0,1,25.0,0,0.0,0,0.0,21021
21,22,2,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,21022
21,28,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,21028
21,29,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,21029
21,30,2,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,21030
21,33,3,1,33.33,0,0.0,1,33.33,0,0.0,1,33.33,0,0.0,21033
21,34,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,21034
21,35,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,21035
21,36,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,21036
21,38,2,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,21038
21,39,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,21039
21,40,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,21040
21,41,1,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,21041
21,44,4,1,25.0,1,25.0,1,25.0,1,25.0,0,0.0,0,0.0,21044
21,45,2,0,0.0,1,50.0,0,0.0,0,0.0,1,50.0,0,0.0,21045
21,49,4,1,25.0,0,0.0,1,25.0,0,0.0,1,25.0,1,25.0,21049
21,50,4,1,25.0,1,25.0,1,25.0,1,25.0,0,0.0,0,0.0,21050
21,51,5,1,20.0,2,40.0,0,0.0,1,20.0,0,0.0,1,20.0,21051
21,52,2,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,21052
21,54,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,21054
21,56,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,21056
21,57,4,0,0.0,1,25.0,1,25.0,0,0.0,1,25.0,1,25.0,21057
21,60,6,0,0.0,1,16.67,1,16.67,2,33.33,1,16.67,1,16.67,21060
21,61,3,0,0.0,0,0.0,0,0.0,0,0.0,2,66.67,1,33.33,21061
21,62,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,21062
21,63,3,0,0.0,0,0.0,0,0.0,0,0.0,1,33.33,2,66.67,21063
21,64,2,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,21064
21,66,3,1,33.33,0,0.0,2,66.67,0,0.0,0,0.0,0,0.0,21066
21,67,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,21067
21,68,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,21068
21,69,2,0,0.0,1,50.0,0,0.0,0,0.0,1,50.0,0,0.0,21069
34,1,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,34001
34,2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,34002
34,3,2,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,34003
34,4,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,34004
34,5,3,0,0.0,1,33.33,0,0.0,0,0.0,1,33.33,1,33.33,34005
34,6,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,34006
34,7,8,0,0.0,0,0.0,3,37.5,1,12.5,2,25.0,2,25.0,34007
34,8,3,0,0.0,0,0.0,0,0.0,0,0.0,2,66.67,1,33.33,34008
34,9,10,4,40.0,5,50.0,0,0.0,0,0.0,0,0.0,1,10.0,34009
34,10,2,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,1,50.0,34010
34,11,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,34011
34,12,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,34012
34,13,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,34013
34,14,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,34014
34,15,5,1,20.0,2,40.0,1,20.0,1,20.0,0,0.0,0,0.0,34015
34,16,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,34016
34,17,4,2,50.0,1,25.0,0,0.0,0,0.0,1,25.0,0,0.0,34017
34,18,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,34018
34,19,3,0,0.0,2,66.67,0,0.0,1,33.33,0,0.0,0,0.0,34019
34,20,1,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,34020
34,21,3,1,33.33,1,33.33,0,0.0,1,33.33,0,0.0,0,0.0,34021
34,22,1,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,34022
34,23,6,1,16.67,3,50.0,0,0.0,0,0.0,1,16.67,1,16.67,34023
34,24,2,0,0.0,0,0.0,1,50.0,0,0.0,1,50.0,0,0.0,34024
34,26,4,0,0.0,2,50.0,0,0.0,0,0.0,1,25.0,1,25.0,34026
34,27,2,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,1,50.0,34027
34,28,3,0,0.0,0,0.0,1,33.33,1,33.33,0,0.0,1,33.33,34028
34,29,3,1,33.33,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,34029
34,30,6,3,50.0,2,33.33,0,0.0,0,0.0,1,16.67,0,0.0,34030
34,31,2,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,34031
34,32,2,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,34032
34,33,2,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,34033
34,34,2,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,34034
34,35,10,5,50.0,5,50.0,0,0.0,0,0.0,0,0.0,0,0.0,34035
34,36,2,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,34036
34,37,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,34037
34,38,1,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,34038
34,39,4,0,0.0,0,0.0,1,25.0,0,0.0,2,50.0,1,25.0,34039
34,40,2,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,34040
34,41,1,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,34041
34,42,4,0,0.0,1,25.0,0,0.0,0,0.0,2,50.0,1,25.0,34042
34,43,6,0,0.0,0,0.0,1,16.67,1,16.67,2,33.33,2,33.33,34043
34,44,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,34044
34,45,3,0,0.0,1,33.33,1,33.33,0,0.0,1,33.33,0,0.0,34045
34,47,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,34047
34,48,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,34048
34,49,9,1,11.11,2,22.22,3,33.33,2,22.22,1,11.11,0,0.0,34049
34,50,2,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,1,50.0,34050
34,51,12,6,50.0,4,33.33,0,0.0,0,0.0,2,16.67,0,0.0,34051
34,52,5,0,0.0,1,20.0,1,20.0,1,20.0,1,20.0,1,20.0,34052
34,53,2,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,34053
34,54,6,2,33.33,2,33.33,0,0.0,0,0.0,1,16.67,1,16.67,34054
34,55,5,0,0.0,3,60.0,0,0.0,1,20.0,0,0.0,1,20.0,34055
34,56,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,34056
34,57,2,0,0.0,0,0.0,1,50.0,0,0.0,1,50.0,0,0.0,34057
34,58,8,2,25.0,3,37.5,1,12.5,0,0.0,1,12.5,1,12.5,34058
34,59,2,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,34059
34,60,1,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,34060
34,61,3,1,33.33,1,33.33,0,0.0,0,0.0,1,33.33,0,0.0,34061
