ward,precinct,total,KATHLEEN THOMAS (BUSH),KATHLEEN THOMAS (BUSH) Percent,THOMAS D. GRUSECKI (BUSH),THOMAS D. GRUSECKI (BUSH) Percent,RALPH CONNOR (FORBES),RALPH CONNOR (FORBES) Percent,JOHN ANTHONY GABLE (McCAIN),JOHN ANTHONY GABLE (McCAIN) Percent,EDWARD X. CLINTON (McCAIN),EDWARD X. CLINTON (McCAIN) Percent,precinct_id
3,32,5,2,40.0,2,40.0,0,0.0,0,0.0,1,20.0,03032
3,35,3,2,66.67,1,33.33,0,0.0,0,0.0,0,0.0,03035
3,37,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03037
3,40,4,2,50.0,2,50.0,0,0.0,0,0.0,0,0.0,03040
3,43,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03043
3,46,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03046
3,47,4,1,25.0,0,0.0,1,25.0,2,50.0,0,0.0,03047
3,48,2,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,03048
3,49,3,2,66.67,1,33.33,0,0.0,0,0.0,0,0.0,03049
3,50,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,03050
3,52,3,0,0.0,1,33.33,0,0.0,2,66.67,0,0.0,03052
4,8,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,04008
11,12,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11012
11,13,6,2,33.33,1,16.67,1,16.67,1,16.67,1,16.67,11013
11,34,16,8,50.0,5,31.25,2,12.5,1,6.25,0,0.0,11034
11,35,2,1,50.0,0,0.0,0,0.0,0,0.0,1,50.0,11035
11,37,6,1,16.67,1,16.67,0,0.0,2,33.33,2,33.33,11037
11,38,6,3,50.0,1,16.67,1,16.67,1,16.67,0,0.0,11038
11,39,10,6,60.0,4,40.0,0,0.0,0,0.0,0,0.0,11039
11,40,10,5,50.0,4,40.0,0,0.0,0,0.0,1,10.0,11040
11,41,9,5,55.56,2,22.22,1,11.11,1,11.11,0,0.0,11041
11,42,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11042
11,43,11,3,27.27,4,36.36,2,18.18,1,9.09,1,9.09,11043
11,45,6,3,50.0,1,16.67,1,16.67,1,16.67,0,0.0,11045
11,46,2,1,50.0,0,0.0,0,0.0,1,50.0,0,0.0,11046
11,47,3,0,0.0,1,33.33,1,33.33,0,0.0,1,33.33,11047
11,48,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,11048
11,49,12,4,33.33,5,41.67,2,16.67,1,8.33,0,0.0,11049
11,50,2,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,11050
11,52,6,2,33.33,1,16.67,2,33.33,0,0.0,1,16.67,11052
11,53,5,1,20.0,1,20.0,1,20.0,1,20.0,1,20.0,11053
11,54,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11054
12,19,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12019
16,16,1,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,16016
16,17,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16017
16,18,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16018
20,4,2,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,20004
20,8,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20008
20,15,2,1,50.0,0,0.0,0,0.0,0,0.0,1,50.0,20015
20,21,2,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,20021
20,27,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,20027
20,31,2,1,50.0,0,0.0,0,0.0,0,0.0,1,50.0,20031
20,48,5,2,40.0,0,0.0,0,0.0,1,20.0,2,40.0,20048
22,7,3,0,0.0,1,33.33,0,0.0,1,33.33,1,33.33,22007
22,8,4,2,50.0,2,50.0,0,0.0,0,0.0,0,0.0,22008
22,12,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,22012
22,20,2,0,0.0,0,0.0,0,0.0,0,0.0,2,100.0,22020
22,21,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,22021
22,28,3,2,66.67,0,0.0,0,0.0,0,0.0,1,33.33,22028
24,1,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,24001
24,2,4,0,0.0,1,25.0,0,0.0,2,50.0,1,25.0,24002
24,3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24003
24,4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24004
24,5,1,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,24005
24,6,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24006
24,7,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24007
24,8,1,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,24008
24,9,16,6,37.5,3,18.75,4,25.0,0,0.0,3,18.75,24009
24,10,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24010
24,11,3,2,66.67,1,33.33,0,0.0,0,0.0,0,0.0,24011
24,12,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,24012
24,13,2,0,0.0,1,50.0,0,0.0,1,50.0,0,0.0,24013
24,14,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,24014
24,15,2,0,0.0,0,0.0,1,50.0,0,0.0,1,50.0,24015
24,16,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24016
24,17,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24017
24,18,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24018
24,19,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,24019
24,20,2,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,24020
24,21,2,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,24021
24,22,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24022
24,23,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24023
24,24,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24024
24,25,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,24025
24,26,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24026
24,27,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24027
24,28,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24028
24,29,1,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,24029
24,30,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24030
24,31,3,2,66.67,1,33.33,0,0.0,0,0.0,0,0.0,24031
24,32,4,2,50.0,1,25.0,1,25.0,0,0.0,0,0.0,24032
24,33,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24033
24,34,7,1,14.29,2,28.57,2,28.57,1,14.29,1,14.29,24034
24,35,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24035
24,36,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24036
24,37,1,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,24037
24,38,1,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,24038
24,39,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24039
24,40,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,24040
24,41,4,1,25.0,1,25.0,0,0.0,1,25.0,1,25.0,24041
24,42,1,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,24042
24,43,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,24043
24,44,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24044
24,45,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,24045
24,46,5,2,40.0,1,20.0,1,20.0,0,0.0,1,20.0,24046
24,47,3,1,33.33,0,0.0,0,0.0,1,33.33,1,33.33,24047
24,48,3,0,0.0,0,0.0,0,0.0,1,33.33,2,66.67,24048
24,49,1,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,24049
24,50,4,1,25.0,1,25.0,1,25.0,0,0.0,1,25.0,24050
24,51,11,4,36.36,1,9.09,3,27.27,1,9.09,2,18.18,24051
24,52,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,24052
24,53,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24053
25,3,22,10,45.45,10,45.45,1,4.55,1,4.55,0,0.0,25003
25,4,3,2,66.67,1,33.33,0,0.0,0,0.0,0,0.0,25004
25,6,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,25006
25,10,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,25010
25,14,19,10,52.63,4,21.05,2,10.53,1,5.26,2,10.53,25014
25,16,17,8,47.06,6,35.29,0,0.0,2,11.76,1,5.88,25016
25,18,17,4,23.53,4,23.53,5,29.41,2,11.76,2,11.76,25018
25,21,27,11,40.74,7,25.93,3,11.11,4,14.81,2,7.41,25021
27,1,66,24,36.36,18,27.27,2,3.03,14,21.21,8,12.12,27001
27,2,3,2,66.67,0,0.0,0,0.0,0,0.0,1,33.33,27002
27,3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27003
27,4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27004
27,5,24,12,50.0,7,29.17,2,8.33,2,8.33,1,4.17,27005
27,6,2,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,27006
27,7,2,0,0.0,0,0.0,2,100.0,0,0.0,0,0.0,27007
27,8,2,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,27008
27,9,4,1,25.0,1,25.0,0,0.0,1,25.0,1,25.0,27009
27,11,6,3,50.0,2,33.33,1,16.67,0,0.0,0,0.0,27011
27,12,3,0,0.0,0,0.0,1,33.33,2,66.67,0,0.0,27012
27,13,66,25,37.88,17,25.76,3,4.55,10,15.15,11,16.67,27013
27,14,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,27014
27,15,2,0,0.0,1,50.0,0,0.0,1,50.0,0,0.0,27015
27,16,30,9,30.0,9,30.0,4,13.33,5,16.67,3,10.0,27016
27,17,18,3,16.67,3,16.67,1,5.56,5,27.78,6,33.33,27017
27,18,6,3,50.0,1,16.67,0,0.0,1,16.67,1,16.67,27018
27,19,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,27019
27,20,8,2,25.0,1,12.5,1,12.5,2,25.0,2,25.0,27020
27,21,2,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,27021
27,22,2,1,50.0,0,0.0,0,0.0,0,0.0,1,50.0,27022
27,23,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,27023
27,24,1,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,27024
27,25,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,27025
27,26,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27026
27,27,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,27027
27,28,20,8,40.0,5,25.0,1,5.0,4,20.0,2,10.0,27028
27,29,4,1,25.0,0,0.0,1,25.0,1,25.0,1,25.0,27029
27,30,24,12,50.0,7,29.17,1,4.17,3,12.5,1,4.17,27030
27,31,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27031
27,33,10,3,30.0,2,20.0,0,0.0,2,20.0,3,30.0,27033
27,34,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27034
27,35,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27035
27,36,1,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,27036
27,37,24,11,45.83,7,29.17,0,0.0,3,12.5,3,12.5,27037
27,38,71,21,29.58,20,28.17,3,4.23,15,21.13,12,16.9,27038
27,39,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27039
27,40,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27040
27,41,198,128,64.65,33,16.67,7,3.54,17,8.59,13,6.57,27041
27,42,17,5,29.41,7,41.18,0,0.0,3,17.65,2,11.76,27042
27,43,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27043
27,44,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,27044
27,45,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27045
27,46,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27046
27,47,2,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,27047
27,48,3,2,66.67,0,0.0,0,0.0,1,33.33,0,0.0,27048
27,49,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,27049
27,50,19,7,36.84,4,21.05,2,10.53,4,21.05,2,10.53,27050
27,51,3,0,0.0,0,0.0,0,0.0,2,66.67,1,33.33,27051
27,52,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27052
27,53,90,33,36.67,27,30.0,8,8.89,12,13.33,10,11.11,27053
27,54,4,0,0.0,0,0.0,0,0.0,2,50.0,2,50.0,27054
27,55,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27055
28,1,3,1,33.33,0,0.0,1,33.33,0,0.0,1,33.33,28001
28,2,2,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,28002
28,3,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,28003
28,4,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,28004
28,5,2,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,28005
28,6,2,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,28006
28,7,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28007
28,8,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28008
28,9,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28009
28,10,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,28010
28,11,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28011
28,12,2,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,28012
28,13,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28013
28,15,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28015
28,16,2,0,0.0,1,50.0,0,0.0,0,0.0,1,50.0,28016
28,17,1,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,28017
28,18,2,1,50.0,0,0.0,0,0.0,0,0.0,1,50.0,28018
28,19,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28019
28,20,1,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,28020
28,21,1,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,28021
28,22,2,1,50.0,0,0.0,0,0.0,1,50.0,0,0.0,28022
28,23,1,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,28023
28,24,2,1,50.0,0,0.0,0,0.0,0,0.0,1,50.0,28024
28,25,2,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,28025
28,26,1,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,28026
28,27,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28027
28,28,2,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0,28028
28,29,6,2,33.33,1,16.67,0,0.0,1,16.67,2,33.33,28029
28,30,4,1,25.0,1,25.0,2,50.0,0,0.0,0,0.0,28030
28,31,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28031
28,32,6,2,33.33,0,0.0,2,33.33,1,16.67,1,16.67,28032
28,33,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28033
28,34,2,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,28034
28,35,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28035
28,36,3,1,33.33,1,33.33,0,0.0,0,0.0,1,33.33,28036
28,37,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28037
28,38,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28038
28,39,1,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,28039
28,40,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28040
28,41,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28041
28,42,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28042
28,43,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28043
28,44,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,28044
28,45,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28045
28,46,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28046
28,47,1,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,28047
28,48,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28048
28,49,3,2,66.67,1,33.33,0,0.0,0,0.0,0,0.0,28049
28,50,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28050
28,51,2,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,28051
28,52,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28052
28,53,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28053
28,54,5,1,20.0,1,20.0,1,20.0,1,20.0,1,20.0,28054
28,55,3,0,0.0,0,0.0,2,66.67,0,0.0,1,33.33,28055
28,56,4,1,25.0,2,50.0,1,25.0,0,0.0,0,0.0,28056
28,57,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28057
28,58,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,28058
28,59,3,2,66.67,0,0.0,0,0.0,0,0.0,1,33.33,28059
28,60,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28060
28,61,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28061
29,1,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,29001
29,3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29003
29,4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29004
29,5,2,1,50.0,0,0.0,0,0.0,1,50.0,0,0.0,29005
29,7,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29007
29,8,4,1,25.0,0,0.0,1,25.0,1,25.0,1,25.0,29008
29,9,13,3,23.08,3,23.08,2,15.38,2,15.38,3,23.08,29009
29,10,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29010
29,11,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,29011
29,12,5,3,60.0,2,40.0,0,0.0,0,0.0,0,0.0,29012
29,13,4,1,25.0,1,25.0,1,25.0,1,25.0,0,0.0,29013
29,14,6,3,50.0,3,50.0,0,0.0,0,0.0,0,0.0,29014
29,15,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29015
29,16,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29016
29,18,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29018
29,19,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29019
29,20,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29020
29,21,2,1,50.0,0,0.0,0,0.0,0,0.0,1,50.0,29021
29,23,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29023
29,24,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29024
29,25,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29025
29,26,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29026
29,27,6,3,50.0,2,33.33,0,0.0,1,16.67,0,0.0,29027
29,28,2,0,0.0,0,0.0,1,50.0,0,0.0,1,50.0,29028
29,29,11,4,36.36,4,36.36,2,18.18,1,9.09,0,0.0,29029
29,30,2,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,29030
29,31,1,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,29031
29,32,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29032
29,33,1,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,29033
29,35,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29035
29,36,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29036
29,37,3,2,66.67,0,0.0,1,33.33,0,0.0,0,0.0,29037
29,38,3,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,29038
29,39,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29039
29,40,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,29040
29,41,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29041
29,42,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29042
29,43,2,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,29043
29,44,5,3,60.0,0,0.0,0,0.0,0,0.0,2,40.0,29044
29,45,1,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,29045
29,46,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29046
29,47,10,5,50.0,0,0.0,1,10.0,2,20.0,2,20.0,29047
29,49,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29049
29,50,2,1,50.0,0,0.0,0,0.0,0,0.0,1,50.0,29050
29,51,8,3,37.5,2,25.0,1,12.5,0,0.0,2,25.0,29051
29,52,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29052
29,56,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29056
31,19,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,31019
32,1,33,13,39.39,12,36.36,1,3.03,3,9.09,4,12.12,32001
32,6,21,4,19.05,6,28.57,2,9.52,4,19.05,5,23.81,32006
32,12,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,32012
32,26,22,6,27.27,5,22.73,6,27.27,3,13.64,2,9.09,32026
32,46,3,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,32046
36,4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,36004
36,16,8,3,37.5,2,25.0,0,0.0,1,12.5,2,25.0,36016
36,23,7,2,28.57,2,28.57,1,14.29,1,14.29,1,14.29,36023
36,24,14,7,50.0,4,28.57,0,0.0,1,7.14,2,14.29,36024
36,26,6,3,50.0,2,33.33,0,0.0,1,16.67,0,0.0,36026
36,33,20,9,45.0,8,40.0,0,0.0,2,10.0,1,5.0,36033
36,43,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,36043
36,44,12,4,33.33,5,41.67,1,8.33,1,8.33,1,8.33,36044
36,54,14,6,42.86,6,42.86,0,0.0,1,7.14,1,7.14,36054
36,55,22,10,45.45,9,40.91,3,13.64,0,0.0,0,0.0,36055
