ward,precinct,total,Curtis Lacy,Curtis Lacy Percent,Antoine Members,Antoine Members Percent,precinct_id
17,1,2,1,50.0,1,50.0,17001
17,2,3,3,100.0,0,0.0,17002
17,3,0,0,0.0,0,0.0,17003
17,4,0,0,0.0,0,0.0,17004
17,5,3,2,66.67,1,33.33,17005
17,6,0,0,0.0,0,0.0,17006
17,7,2,2,100.0,0,0.0,17007
17,8,1,0,0.0,1,100.0,17008
17,9,1,0,0.0,1,100.0,17009
17,10,1,0,0.0,1,100.0,17010
17,11,0,0,0.0,0,0.0,17011
17,12,0,0,0.0,0,0.0,17012
17,13,0,0,0.0,0,0.0,17013
17,14,0,0,0.0,0,0.0,17014
17,15,0,0,0.0,0,0.0,17015
17,16,0,0,0.0,0,0.0,17016
17,17,0,0,0.0,0,0.0,17017
17,18,0,0,0.0,0,0.0,17018
17,19,0,0,0.0,0,0.0,17019
17,20,0,0,0.0,0,0.0,17020
17,21,3,2,66.67,1,33.33,17021
17,22,1,1,100.0,0,0.0,17022
17,23,0,0,0.0,0,0.0,17023
17,24,2,0,0.0,2,100.0,17024
17,25,0,0,0.0,0,0.0,17025
17,26,0,0,0.0,0,0.0,17026
17,27,1,0,0.0,1,100.0,17027
17,28,1,1,100.0,0,0.0,17028
17,29,2,2,100.0,0,0.0,17029
17,30,1,0,0.0,1,100.0,17030
17,31,0,0,0.0,0,0.0,17031
17,32,1,1,100.0,0,0.0,17032
17,33,0,0,0.0,0,0.0,17033
17,34,0,0,0.0,0,0.0,17034
17,35,0,0,0.0,0,0.0,17035
17,36,0,0,0.0,0,0.0,17036
17,37,0,0,0.0,0,0.0,17037
17,38,0,0,0.0,0,0.0,17038
17,39,1,0,0.0,1,100.0,17039
17,40,0,0,0.0,0,0.0,17040
17,41,0,0,0.0,0,0.0,17041
17,42,0,0,0.0,0,0.0,17042
17,43,0,0,0.0,0,0.0,17043
17,44,1,0,0.0,1,100.0,17044
17,45,0,0,0.0,0,0.0,17045
17,46,0,0,0.0,0,0.0,17046
17,47,1,1,100.0,0,0.0,17047
17,48,0,0,0.0,0,0.0,17048
17,49,3,2,66.67,1,33.33,17049
17,50,3,1,33.33,2,66.67,17050
17,51,0,0,0.0,0,0.0,17051
17,52,0,0,0.0,0,0.0,17052
17,53,4,4,100.0,0,0.0,17053
17,54,1,1,100.0,0,0.0,17054
17,55,0,0,0.0,0,0.0,17055
