ward,precinct,total,Darleen A. Conners,Darleen A. Conners Percent,precinct_id
13,1,11,11,100.0,13001
13,2,3,3,100.0,13002
13,4,3,3,100.0,13004
13,5,1,1,100.0,13005
13,6,13,13,100.0,13006
13,7,8,8,100.0,13007
13,8,11,11,100.0,13008
13,9,8,8,100.0,13009
13,10,5,5,100.0,13010
13,11,3,3,100.0,13011
13,12,3,3,100.0,13012
13,13,10,10,100.0,13013
13,14,5,5,100.0,13014
13,15,8,8,100.0,13015
13,16,7,7,100.0,13016
13,17,14,14,100.0,13017
13,21,6,6,100.0,13021
13,22,7,7,100.0,13022
13,23,8,8,100.0,13023
13,24,4,4,100.0,13024
13,25,10,10,100.0,13025
13,27,10,10,100.0,13027
13,28,4,4,100.0,13028
13,29,8,8,100.0,13029
13,32,9,9,100.0,13032
13,33,4,4,100.0,13033
13,34,7,7,100.0,13034
13,35,9,9,100.0,13035
13,36,4,4,100.0,13036
13,37,5,5,100.0,13037
13,38,14,14,100.0,13038
13,39,7,7,100.0,13039
13,40,10,10,100.0,13040
13,41,6,6,100.0,13041
13,42,8,8,100.0,13042
13,43,2,2,100.0,13043
13,44,1,1,100.0,13044
13,45,14,14,100.0,13045
13,46,6,6,100.0,13046
13,48,9,9,100.0,13048
13,49,10,10,100.0,13049
13,50,7,7,100.0,13050
13,51,11,11,100.0,13051
13,52,10,10,100.0,13052
13,53,16,16,100.0,13053
13,54,7,7,100.0,13054
