ward,precinct,total,Antonio Davis-Fairman,Antonio Davis-Fairman Percent,precinct_id
1,1,4,4,100.0,01001
1,6,6,6,100.0,01006
1,11,1,1,100.0,01011
1,14,2,2,100.0,01014
2,1,16,16,100.0,02001
2,2,0,0,0.0,02002
2,3,12,12,100.0,02003
2,4,1,1,100.0,02004
2,5,2,2,100.0,02005
2,6,13,13,100.0,02006
2,7,0,0,0.0,02007
2,8,25,25,100.0,02008
2,9,0,0,0.0,02009
2,10,0,0,0.0,02010
2,11,15,15,100.0,02011
2,12,28,28,100.0,02012
2,13,3,3,100.0,02013
2,14,0,0,0.0,02014
2,15,0,0,0.0,02015
2,16,8,8,100.0,02016
2,17,0,0,0.0,02017
2,18,33,33,100.0,02018
2,19,0,0,0.0,02019
2,20,0,0,0.0,02020
2,21,4,4,100.0,02021
2,22,18,18,100.0,02022
2,23,1,1,100.0,02023
2,24,2,2,100.0,02024
2,25,3,3,100.0,02025
2,26,10,10,100.0,02026
2,27,0,0,0.0,02027
2,28,9,9,100.0,02028
2,29,6,6,100.0,02029
2,30,1,1,100.0,02030
2,32,1,1,100.0,02032
2,33,0,0,0.0,02033
2,34,0,0,0.0,02034
2,35,10,10,100.0,02035
2,36,0,0,0.0,02036
2,37,17,17,100.0,02037
2,38,5,5,100.0,02038
2,39,5,5,100.0,02039
2,40,4,4,100.0,02040
2,41,0,0,0.0,02041
2,42,1,1,100.0,02042
2,43,25,25,100.0,02043
2,45,0,0,0.0,02045
2,47,2,2,100.0,02047
2,48,2,2,100.0,02048
2,49,13,13,100.0,02049
2,50,6,6,100.0,02050
2,51,2,2,100.0,02051
2,52,1,1,100.0,02052
2,53,0,0,0.0,02053
2,54,24,24,100.0,02054
2,55,3,3,100.0,02055
2,56,2,2,100.0,02056
2,57,0,0,0.0,02057
2,58,3,3,100.0,02058
2,59,21,21,100.0,02059
3,1,1,1,100.0,03001
3,2,0,0,0.0,03002
3,3,5,5,100.0,03003
3,4,0,0,0.0,03004
3,6,0,0,0.0,03006
3,8,0,0,0.0,03008
3,9,4,4,100.0,03009
3,10,0,0,0.0,03010
3,11,0,0,0.0,03011
3,12,3,3,100.0,03012
3,14,1,1,100.0,03014
3,15,0,0,0.0,03015
3,16,1,1,100.0,03016
3,17,0,0,0.0,03017
3,18,0,0,0.0,03018
3,19,3,3,100.0,03019
3,20,1,1,100.0,03020
3,21,0,0,0.0,03021
3,22,0,0,0.0,03022
3,23,0,0,0.0,03023
3,24,1,1,100.0,03024
3,25,1,1,100.0,03025
3,26,2,2,100.0,03026
3,27,0,0,0.0,03027
3,28,2,2,100.0,03028
3,29,1,1,100.0,03029
3,31,1,1,100.0,03031
3,32,2,2,100.0,03032
3,33,1,1,100.0,03033
3,35,0,0,0.0,03035
3,36,0,0,0.0,03036
3,37,1,1,100.0,03037
3,39,1,1,100.0,03039
3,40,2,2,100.0,03040
3,41,0,0,0.0,03041
3,42,1,1,100.0,03042
3,43,1,1,100.0,03043
3,45,0,0,0.0,03045
3,47,3,3,100.0,03047
3,48,1,1,100.0,03048
3,49,0,0,0.0,03049
3,50,0,0,0.0,03050
3,52,0,0,0.0,03052
3,54,5,5,100.0,03054
3,55,0,0,0.0,03055
3,56,0,0,0.0,03056
3,57,6,6,100.0,03057
3,59,3,3,100.0,03059
3,60,0,0,0.0,03060
3,61,4,4,100.0,03061
3,62,2,2,100.0,03062
3,63,6,6,100.0,03063
4,4,0,0,0.0,04004
4,5,2,2,100.0,04005
4,6,0,0,0.0,04006
4,7,0,0,0.0,04007
4,10,1,1,100.0,04010
4,11,0,0,0.0,04011
4,14,1,1,100.0,04014
4,15,1,1,100.0,04015
4,25,2,2,100.0,04025
4,27,2,2,100.0,04027
4,35,0,0,0.0,04035
4,36,3,3,100.0,04036
4,42,2,2,100.0,04042
4,53,2,2,100.0,04053
11,14,9,9,100.0,11014
11,27,6,6,100.0,11027
11,28,7,7,100.0,11028
11,34,0,0,0.0,11034
11,36,2,2,100.0,11036
11,46,4,4,100.0,11046
12,1,0,0,0.0,12001
12,6,1,1,100.0,12006
12,7,0,0,0.0,12007
12,18,3,3,100.0,12018
16,15,1,1,100.0,16015
16,16,2,2,100.0,16016
16,18,0,0,0.0,16018
16,20,0,0,0.0,16020
16,22,1,1,100.0,16022
16,24,0,0,0.0,16024
16,29,0,0,0.0,16029
16,30,1,1,100.0,16030
16,33,0,0,0.0,16033
20,27,0,0,0.0,20027
20,31,1,1,100.0,20031
20,40,0,0,0.0,20040
20,45,0,0,0.0,20045
20,48,3,3,100.0,20048
20,52,2,2,100.0,20052
22,7,0,0,0.0,22007
22,18,0,0,0.0,22018
22,19,1,1,100.0,22019
22,21,0,0,0.0,22021
24,1,3,3,100.0,24001
24,2,1,1,100.0,24002
24,3,1,1,100.0,24003
24,4,1,1,100.0,24004
24,5,0,0,0.0,24005
24,6,2,2,100.0,24006
24,7,0,0,0.0,24007
24,8,0,0,0.0,24008
24,9,2,2,100.0,24009
24,10,1,1,100.0,24010
24,11,2,2,100.0,24011
24,12,2,2,100.0,24012
24,13,2,2,100.0,24013
24,14,3,3,100.0,24014
24,15,1,1,100.0,24015
24,16,0,0,0.0,24016
24,17,1,1,100.0,24017
24,18,0,0,0.0,24018
24,19,0,0,0.0,24019
24,20,0,0,0.0,24020
24,21,1,1,100.0,24021
24,22,0,0,0.0,24022
24,23,0,0,0.0,24023
24,24,1,1,100.0,24024
24,25,2,2,100.0,24025
24,26,0,0,0.0,24026
24,27,0,0,0.0,24027
24,28,0,0,0.0,24028
24,29,4,4,100.0,24029
24,30,3,3,100.0,24030
24,31,0,0,0.0,24031
24,32,1,1,100.0,24032
24,33,1,1,100.0,24033
24,34,2,2,100.0,24034
24,35,0,0,0.0,24035
24,36,0,0,0.0,24036
24,37,0,0,0.0,24037
24,38,0,0,0.0,24038
24,39,0,0,0.0,24039
24,40,3,3,100.0,24040
24,41,0,0,0.0,24041
24,42,0,0,0.0,24042
24,43,1,1,100.0,24043
24,44,1,1,100.0,24044
24,45,2,2,100.0,24045
24,46,0,0,0.0,24046
24,47,1,1,100.0,24047
24,48,0,0,0.0,24048
24,49,1,1,100.0,24049
24,50,3,3,100.0,24050
24,51,7,7,100.0,24051
24,52,1,1,100.0,24052
24,53,0,0,0.0,24053
24,54,2,2,100.0,24054
24,55,1,1,100.0,24055
24,56,0,0,0.0,24056
24,58,1,1,100.0,24058
24,59,0,0,0.0,24059
25,3,3,3,100.0,25003
25,4,9,9,100.0,25004
25,5,0,0,0.0,25005
25,6,0,0,0.0,25006
25,8,0,0,0.0,25008
25,10,2,2,100.0,25010
25,14,6,6,100.0,25014
25,16,4,4,100.0,25016
25,18,3,3,100.0,25018
25,21,7,7,100.0,25021
25,25,13,13,100.0,25025
25,26,6,6,100.0,25026
25,27,15,15,100.0,25027
25,28,14,14,100.0,25028
25,29,5,5,100.0,25029
26,17,16,16,100.0,26017
26,28,0,0,0.0,26028
26,33,17,17,100.0,26033
26,46,9,9,100.0,26046
27,1,13,13,100.0,27001
27,2,1,1,100.0,27002
27,3,0,0,0.0,27003
27,4,6,6,100.0,27004
27,5,5,5,100.0,27005
27,6,0,0,0.0,27006
27,7,18,18,100.0,27007
27,8,1,1,100.0,27008
27,9,2,2,100.0,27009
27,10,2,2,100.0,27010
27,11,0,0,0.0,27011
27,12,13,13,100.0,27012
27,13,4,4,100.0,27013
27,14,0,0,0.0,27014
27,15,1,1,100.0,27015
27,16,11,11,100.0,27016
27,17,9,9,100.0,27017
27,18,5,5,100.0,27018
27,19,2,2,100.0,27019
27,20,1,1,100.0,27020
27,21,0,0,0.0,27021
27,22,1,1,100.0,27022
27,23,1,1,100.0,27023
27,24,1,1,100.0,27024
27,25,0,0,0.0,27025
27,26,2,2,100.0,27026
27,27,3,3,100.0,27027
27,28,18,18,100.0,27028
27,29,2,2,100.0,27029
27,30,1,1,100.0,27030
27,31,0,0,0.0,27031
27,33,3,3,100.0,27033
27,34,0,0,0.0,27034
27,36,2,2,100.0,27036
27,37,2,2,100.0,27037
27,39,0,0,0.0,27039
27,40,0,0,0.0,27040
27,41,1,1,100.0,27041
27,42,11,11,100.0,27042
27,43,0,0,0.0,27043
27,44,1,1,100.0,27044
27,45,1,1,100.0,27045
27,46,5,5,100.0,27046
27,47,0,0,0.0,27047
27,48,0,0,0.0,27048
27,49,1,1,100.0,27049
27,50,18,18,100.0,27050
27,51,0,0,0.0,27051
27,52,1,1,100.0,27052
