ward,precinct,total,George McKinley,George McKinley Percent,precinct_id
37,1,7,7,100.0,37001
37,2,4,4,100.0,37002
37,3,2,2,100.0,37003
37,4,6,6,100.0,37004
37,5,3,3,100.0,37005
37,6,1,1,100.0,37006
37,7,2,2,100.0,37007
37,8,3,3,100.0,37008
37,9,5,5,100.0,37009
37,10,4,4,100.0,37010
37,11,4,4,100.0,37011
37,12,7,7,100.0,37012
37,13,4,4,100.0,37013
37,14,4,4,100.0,37014
37,15,3,3,100.0,37015
37,16,5,5,100.0,37016
37,17,0,0,0.0,37017
37,18,5,5,100.0,37018
37,19,7,7,100.0,37019
37,20,1,1,100.0,37020
37,21,7,7,100.0,37021
37,22,5,5,100.0,37022
37,23,0,0,0.0,37023
37,24,1,1,100.0,37024
37,25,4,4,100.0,37025
37,26,4,4,100.0,37026
37,27,6,6,100.0,37027
37,28,5,5,100.0,37028
37,29,4,4,100.0,37029
37,30,2,2,100.0,37030
37,31,2,2,100.0,37031
37,32,4,4,100.0,37032
37,33,0,0,0.0,37033
37,34,3,3,100.0,37034
37,35,1,1,100.0,37035
37,36,0,0,0.0,37036
37,37,5,5,100.0,37037
37,38,4,4,100.0,37038
37,39,1,1,100.0,37039
37,40,1,1,100.0,37040
37,41,1,1,100.0,37041
