ward,precinct,total,Christian K. Wedemeyer,Christian K. Wedemeyer Percent,precinct_id
5,1,0,0,0.0,05001
5,2,0,0,0.0,05002
5,3,0,0,0.0,05003
5,4,0,0,0.0,05004
5,5,0,0,0.0,05005
5,6,0,0,0.0,05006
5,7,0,0,0.0,05007
5,8,0,0,0.0,05008
5,9,0,0,0.0,05009
5,10,0,0,0.0,05010
5,11,2,2,100.0,05011
5,12,0,0,0.0,05012
5,13,0,0,0.0,05013
5,14,0,0,0.0,05014
5,15,1,1,100.0,05015
5,16,0,0,0.0,05016
5,17,1,1,100.0,05017
5,18,0,0,0.0,05018
5,19,0,0,0.0,05019
5,20,0,0,0.0,05020
5,21,0,0,0.0,05021
5,22,0,0,0.0,05022
5,23,0,0,0.0,05023
5,24,0,0,0.0,05024
5,25,1,1,100.0,05025
5,26,0,0,0.0,05026
5,27,1,1,100.0,05027
5,28,0,0,0.0,05028
5,29,0,0,0.0,05029
5,30,1,1,100.0,05030
5,31,0,0,0.0,05031
5,32,0,0,0.0,05032
5,33,0,0,0.0,05033
5,34,0,0,0.0,05034
5,35,0,0,0.0,05035
5,36,0,0,0.0,05036
5,37,0,0,0.0,05037
5,38,0,0,0.0,05038
5,39,0,0,0.0,05039
5,40,0,0,0.0,05040
5,41,2,2,100.0,05041
5,42,0,0,0.0,05042
5,43,0,0,0.0,05043
5,44,0,0,0.0,05044
5,45,0,0,0.0,05045
5,46,1,1,100.0,05046
5,47,0,0,0.0,05047
5,48,0,0,0.0,05048
5,49,0,0,0.0,05049
5,50,0,0,0.0,05050
5,51,0,0,0.0,05051
5,52,0,0,0.0,05052
5,53,1,1,100.0,05053
5,54,0,0,0.0,05054
5,55,0,0,0.0,05055
