ward,precinct,total,Kathryn Maloney Vahey,Kathryn Maloney Vahey Percent,precinct_id
9,2,300,300,100.0,09002
9,3,236,236,100.0,09003
9,4,233,233,100.0,09004
9,5,303,303,100.0,09005
9,6,301,301,100.0,09006
9,7,262,262,100.0,09007
9,8,314,314,100.0,09008
9,9,329,329,100.0,09009
9,10,265,265,100.0,09010
9,11,207,207,100.0,09011
9,12,362,362,100.0,09012
9,13,362,362,100.0,09013
9,14,376,376,100.0,09014
9,15,347,347,100.0,09015
9,16,294,294,100.0,09016
9,17,217,217,100.0,09017
9,18,233,233,100.0,09018
9,19,298,298,100.0,09019
9,20,309,309,100.0,09020
9,21,271,271,100.0,09021
9,22,305,305,100.0,09022
9,23,361,361,100.0,09023
9,24,328,328,100.0,09024
9,25,328,328,100.0,09025
9,26,351,351,100.0,09026
9,27,281,281,100.0,09027
9,28,198,198,100.0,09028
9,29,281,281,100.0,09029
9,30,249,249,100.0,09030
9,31,237,237,100.0,09031
9,32,318,318,100.0,09032
9,33,243,243,100.0,09033
9,34,230,230,100.0,09034
9,35,306,306,100.0,09035
9,36,261,261,100.0,09036
9,37,416,416,100.0,09037
9,38,340,340,100.0,09038
9,39,339,339,100.0,09039
9,40,334,334,100.0,09040
9,41,271,271,100.0,09041
9,42,315,315,100.0,09042
9,43,271,271,100.0,09043
9,44,272,272,100.0,09044
9,45,251,251,100.0,09045
9,46,320,320,100.0,09046
9,47,322,322,100.0,09047
9,48,365,365,100.0,09048
9,49,336,336,100.0,09049
9,50,409,409,100.0,09050
9,51,324,324,100.0,09051
10,1,288,288,100.0,10001
10,2,259,259,100.0,10002
10,3,275,275,100.0,10003
10,4,224,224,100.0,10004
10,5,215,215,100.0,10005
10,6,231,231,100.0,10006
10,7,217,217,100.0,10007
10,8,193,193,100.0,10008
10,9,227,227,100.0,10009
10,10,279,279,100.0,10010
10,11,334,334,100.0,10011
10,12,184,184,100.0,10012
10,13,273,273,100.0,10013
10,14,358,358,100.0,10014
10,15,577,577,100.0,10015
10,16,214,214,100.0,10016
10,17,351,351,100.0,10017
10,18,200,200,100.0,10018
10,19,270,270,100.0,10019
10,20,303,303,100.0,10020
10,21,292,292,100.0,10021
10,22,174,174,100.0,10022
10,23,269,269,100.0,10023
10,24,259,259,100.0,10024
10,25,89,89,100.0,10025
10,26,221,221,100.0,10026
10,27,308,308,100.0,10027
10,28,329,329,100.0,10028
10,29,265,265,100.0,10029
10,30,248,248,100.0,10030
10,31,223,223,100.0,10031
10,32,278,278,100.0,10032
10,33,208,208,100.0,10033
10,34,218,218,100.0,10034
10,35,299,299,100.0,10035
10,36,81,81,100.0,10036
11,1,323,323,100.0,11001
11,2,27,27,100.0,11002
11,3,350,350,100.0,11003
11,4,282,282,100.0,11004
11,5,458,458,100.0,11005
11,6,549,549,100.0,11006
11,7,587,587,100.0,11007
11,8,339,339,100.0,11008
11,9,276,276,100.0,11009
11,10,298,298,100.0,11010
11,11,359,359,100.0,11011
11,12,390,390,100.0,11012
11,13,326,326,100.0,11013
11,14,164,164,100.0,11014
11,15,126,126,100.0,11015
11,16,203,203,100.0,11016
11,17,431,431,100.0,11017
11,18,240,240,100.0,11018
11,19,432,432,100.0,11019
11,20,226,226,100.0,11020
11,21,424,424,100.0,11021
11,22,374,374,100.0,11022
11,23,201,201,100.0,11023
11,24,382,382,100.0,11024
11,25,444,444,100.0,11025
11,26,373,373,100.0,11026
11,27,114,114,100.0,11027
11,28,147,147,100.0,11028
11,29,344,344,100.0,11029
11,30,153,153,100.0,11030
11,31,319,319,100.0,11031
11,32,145,145,100.0,11032
11,33,442,442,100.0,11033
11,34,102,102,100.0,11034
11,35,71,71,100.0,11035
11,36,130,130,100.0,11036
11,37,85,85,100.0,11037
11,38,193,193,100.0,11038
12,1,307,307,100.0,12001
12,2,262,262,100.0,12002
12,3,403,403,100.0,12003
12,4,338,338,100.0,12004
12,5,245,245,100.0,12005
12,6,312,312,100.0,12006
12,7,297,297,100.0,12007
12,8,334,334,100.0,12008
12,9,252,252,100.0,12009
12,10,389,389,100.0,12010
12,11,312,312,100.0,12011
12,12,313,313,100.0,12012
12,13,291,291,100.0,12013
12,14,296,296,100.0,12014
12,15,238,238,100.0,12015
12,16,276,276,100.0,12016
12,17,303,303,100.0,12017
12,18,257,257,100.0,12018
12,19,301,301,100.0,12019
12,20,364,364,100.0,12020
12,21,302,302,100.0,12021
12,22,264,264,100.0,12022
12,23,318,318,100.0,12023
13,1,220,220,100.0,13001
13,2,218,218,100.0,13002
13,3,233,233,100.0,13003
13,4,253,253,100.0,13004
13,5,335,335,100.0,13005
13,6,235,235,100.0,13006
13,7,221,221,100.0,13007
13,8,210,210,100.0,13008
13,9,299,299,100.0,13009
13,10,222,222,100.0,13010
13,11,281,281,100.0,13011
13,12,241,241,100.0,13012
13,13,283,283,100.0,13013
13,14,281,281,100.0,13014
13,15,413,413,100.0,13015
13,16,195,195,100.0,13016
13,17,227,227,100.0,13017
13,18,191,191,100.0,13018
13,19,321,321,100.0,13019
13,20,147,147,100.0,13020
13,21,258,258,100.0,13021
13,22,268,268,100.0,13022
13,23,204,204,100.0,13023
13,24,271,271,100.0,13024
13,25,279,279,100.0,13025
13,26,268,268,100.0,13026
13,27,257,257,100.0,13027
13,28,221,221,100.0,13028
13,29,216,216,100.0,13029
13,30,235,235,100.0,13030
13,31,272,272,100.0,13031
13,32,191,191,100.0,13032
13,33,254,254,100.0,13033
13,34,337,337,100.0,13034
13,35,255,255,100.0,13035
13,36,183,183,100.0,13036
13,37,321,321,100.0,13037
13,38,217,217,100.0,13038
13,39,294,294,100.0,13039
13,40,282,282,100.0,13040
13,41,317,317,100.0,13041
13,42,237,237,100.0,13042
13,43,282,282,100.0,13043
13,44,277,277,100.0,13044
13,45,297,297,100.0,13045
13,46,346,346,100.0,13046
13,47,317,317,100.0,13047
13,48,231,231,100.0,13048
14,1,278,278,100.0,14001
14,2,381,381,100.0,14002
14,3,308,308,100.0,14003
14,4,262,262,100.0,14004
14,5,405,405,100.0,14005
14,6,141,141,100.0,14006
14,7,348,348,100.0,14007
14,8,317,317,100.0,14008
14,9,338,338,100.0,14009
14,10,199,199,100.0,14010
14,11,182,182,100.0,14011
14,12,314,314,100.0,14012
14,13,260,260,100.0,14013
14,14,279,279,100.0,14014
14,15,331,331,100.0,14015
14,16,204,204,100.0,14016
14,17,245,245,100.0,14017
14,18,115,115,100.0,14018
14,19,278,278,100.0,14019
14,20,217,217,100.0,14020
14,21,278,278,100.0,14021
14,22,378,378,100.0,14022
14,23,232,232,100.0,14023
14,24,327,327,100.0,14024
14,25,168,168,100.0,14025
14,26,230,230,100.0,14026
14,27,282,282,100.0,14027
14,28,229,229,100.0,14028
14,29,236,236,100.0,14029
14,30,173,173,100.0,14030
14,31,190,190,100.0,14031
15,1,274,274,100.0,15001
15,2,187,187,100.0,15002
15,3,197,197,100.0,15003
15,4,296,296,100.0,15004
15,5,259,259,100.0,15005
15,6,268,268,100.0,15006
15,7,192,192,100.0,15007
15,8,243,243,100.0,15008
15,9,347,347,100.0,15009
15,10,376,376,100.0,15010
15,11,322,322,100.0,15011
15,12,336,336,100.0,15012
15,13,268,268,100.0,15013
15,14,247,247,100.0,15014
15,15,214,214,100.0,15015
15,16,303,303,100.0,15016
15,17,221,221,100.0,15017
15,18,174,174,100.0,15018
15,19,235,235,100.0,15019
15,20,210,210,100.0,15020
15,21,182,182,100.0,15021
15,22,222,222,100.0,15022
15,23,217,217,100.0,15023
15,24,171,171,100.0,15024
16,1,331,331,100.0,16001
16,2,233,233,100.0,16002
16,3,207,207,100.0,16003
16,4,248,248,100.0,16004
16,5,163,163,100.0,16005
16,6,238,238,100.0,16006
16,7,218,218,100.0,16007
16,8,165,165,100.0,16008
16,9,251,251,100.0,16009
16,10,204,204,100.0,16010
16,11,244,244,100.0,16011
16,12,200,200,100.0,16012
16,13,228,228,100.0,16013
16,14,181,181,100.0,16014
16,15,241,241,100.0,16015
16,16,218,218,100.0,16016
16,17,293,293,100.0,16017
16,18,257,257,100.0,16018
16,19,214,214,100.0,16019
16,20,182,182,100.0,16020
16,21,200,200,100.0,16021
16,22,190,190,100.0,16022
16,23,274,274,100.0,16023
16,24,122,122,100.0,16024
16,25,271,271,100.0,16025
16,26,182,182,100.0,16026
16,27,194,194,100.0,16027
16,28,200,200,100.0,16028
16,29,229,229,100.0,16029
16,30,196,196,100.0,16030
16,31,246,246,100.0,16031
16,32,264,264,100.0,16032
16,33,221,221,100.0,16033
16,34,222,222,100.0,16034
16,35,297,297,100.0,16035
16,36,187,187,100.0,16036
17,1,299,299,100.0,17001
17,2,292,292,100.0,17002
17,3,292,292,100.0,17003
17,4,358,358,100.0,17004
17,5,210,210,100.0,17005
17,6,246,246,100.0,17006
17,7,247,247,100.0,17007
17,8,235,235,100.0,17008
17,9,223,223,100.0,17009
17,10,378,378,100.0,17010
17,11,226,226,100.0,17011
17,12,385,385,100.0,17012
17,13,245,245,100.0,17013
17,14,346,346,100.0,17014
17,15,325,325,100.0,17015
17,16,287,287,100.0,17016
17,17,270,270,100.0,17017
17,18,330,330,100.0,17018
17,19,164,164,100.0,17019
17,20,385,385,100.0,17020
17,21,382,382,100.0,17021
17,22,255,255,100.0,17022
17,23,191,191,100.0,17023
17,24,311,311,100.0,17024
17,25,221,221,100.0,17025
17,26,312,312,100.0,17026
17,27,282,282,100.0,17027
17,28,231,231,100.0,17028
17,29,293,293,100.0,17029
17,30,227,227,100.0,17030
17,31,182,182,100.0,17031
17,32,230,230,100.0,17032
17,33,195,195,100.0,17033
17,34,210,210,100.0,17034
17,35,200,200,100.0,17035
17,36,269,269,100.0,17036
17,37,251,251,100.0,17037
17,38,275,275,100.0,17038
17,39,287,287,100.0,17039
17,40,307,307,100.0,17040
17,41,372,372,100.0,17041
18,1,299,299,100.0,18001
18,2,282,282,100.0,18002
18,3,273,273,100.0,18003
18,4,339,339,100.0,18004
18,5,210,210,100.0,18005
18,6,244,244,100.0,18006
18,7,319,319,100.0,18007
18,8,334,334,100.0,18008
18,9,323,323,100.0,18009
18,10,446,446,100.0,18010
18,11,264,264,100.0,18011
18,12,322,322,100.0,18012
18,13,343,343,100.0,18013
18,14,360,360,100.0,18014
18,15,356,356,100.0,18015
18,16,318,318,100.0,18016
18,17,328,328,100.0,18017
18,18,279,279,100.0,18018
18,19,318,318,100.0,18019
18,20,268,268,100.0,18020
18,21,386,386,100.0,18021
18,22,389,389,100.0,18022
18,23,316,316,100.0,18023
18,24,301,301,100.0,18024
18,25,302,302,100.0,18025
18,26,410,410,100.0,18026
18,27,264,264,100.0,18027
18,28,291,291,100.0,18028
18,29,360,360,100.0,18029
18,30,346,346,100.0,18030
18,31,356,356,100.0,18031
18,32,325,325,100.0,18032
18,33,237,237,100.0,18033
18,34,384,384,100.0,18034
18,35,381,381,100.0,18035
18,36,338,338,100.0,18036
18,37,388,388,100.0,18037
18,38,321,321,100.0,18038
18,39,258,258,100.0,18039
18,40,354,354,100.0,18040
18,41,382,382,100.0,18041
18,42,288,288,100.0,18042
18,43,219,219,100.0,18043
18,44,252,252,100.0,18044
18,45,291,291,100.0,18045
18,46,333,333,100.0,18046
18,47,250,250,100.0,18047
18,48,269,269,100.0,18048
18,49,196,196,100.0,18049
18,50,241,241,100.0,18050
19,1,264,264,100.0,19001
19,2,497,497,100.0,19002
19,3,199,199,100.0,19003
19,4,309,309,100.0,19004
19,5,385,385,100.0,19005
19,6,294,294,100.0,19006
19,7,278,278,100.0,19007
19,8,287,287,100.0,19008
19,9,215,215,100.0,19009
19,10,430,430,100.0,19010
19,11,221,221,100.0,19011
19,12,206,206,100.0,19012
19,13,449,449,100.0,19013
19,14,416,416,100.0,19014
19,15,319,319,100.0,19015
19,16,282,282,100.0,19016
19,17,260,260,100.0,19017
19,18,327,327,100.0,19018
19,19,449,449,100.0,19019
19,20,319,319,100.0,19020
19,21,248,248,100.0,19021
19,22,370,370,100.0,19022
19,23,320,320,100.0,19023
19,24,188,188,100.0,19024
19,25,325,325,100.0,19025
19,26,327,327,100.0,19026
19,27,377,377,100.0,19027
19,28,420,420,100.0,19028
19,29,270,270,100.0,19029
19,30,260,260,100.0,19030
19,31,300,300,100.0,19031
19,32,267,267,100.0,19032
19,33,291,291,100.0,19033
19,34,324,324,100.0,19034
19,35,321,321,100.0,19035
19,36,508,508,100.0,19036
19,37,353,353,100.0,19037
19,38,315,315,100.0,19038
19,39,154,154,100.0,19039
19,40,349,349,100.0,19040
19,41,237,237,100.0,19041
19,42,306,306,100.0,19042
19,43,511,511,100.0,19043
19,44,300,300,100.0,19044
19,45,307,307,100.0,19045
19,46,314,314,100.0,19046
19,47,519,519,100.0,19047
19,48,434,434,100.0,19048
19,49,445,445,100.0,19049
19,50,263,263,100.0,19050
19,51,346,346,100.0,19051
19,52,295,295,100.0,19052
19,53,299,299,100.0,19053
19,54,204,204,100.0,19054
19,55,221,221,100.0,19055
19,56,382,382,100.0,19056
19,57,298,298,100.0,19057
20,1,314,314,100.0,20001
20,2,125,125,100.0,20002
20,3,274,274,100.0,20003
20,4,152,152,100.0,20004
20,5,364,364,100.0,20005
20,6,135,135,100.0,20006
20,7,346,346,100.0,20007
20,8,302,302,100.0,20008
20,9,465,465,100.0,20009
20,10,217,217,100.0,20010
20,11,426,426,100.0,20011
20,12,262,262,100.0,20012
20,13,342,342,100.0,20013
20,14,158,158,100.0,20014
20,15,260,260,100.0,20015
20,16,370,370,100.0,20016
20,17,174,174,100.0,20017
20,18,225,225,100.0,20018
20,19,327,327,100.0,20019
20,20,204,204,100.0,20020
20,21,227,227,100.0,20021
20,22,413,413,100.0,20022
20,23,350,350,100.0,20023
20,24,368,368,100.0,20024
20,25,211,211,100.0,20025
20,26,329,329,100.0,20026
20,27,159,159,100.0,20027
20,28,209,209,100.0,20028
20,29,341,341,100.0,20029
20,30,145,145,100.0,20030
20,31,375,375,100.0,20031
20,32,301,301,100.0,20032
20,33,191,191,100.0,20033
20,34,536,536,100.0,20034
20,35,213,213,100.0,20035
20,36,103,103,100.0,20036
20,37,94,94,100.0,20037
20,38,104,104,100.0,20038
20,39,20,20,100.0,20039
21,1,354,354,100.0,21001
21,2,251,251,100.0,21002
21,3,367,367,100.0,21003
21,4,319,319,100.0,21004
21,5,357,357,100.0,21005
21,6,284,284,100.0,21006
21,7,326,326,100.0,21007
21,8,341,341,100.0,21008
21,9,369,369,100.0,21009
21,10,288,288,100.0,21010
21,11,308,308,100.0,21011
21,12,312,312,100.0,21012
21,13,323,323,100.0,21013
21,14,341,341,100.0,21014
21,15,306,306,100.0,21015
21,16,305,305,100.0,21016
21,17,298,298,100.0,21017
21,18,366,366,100.0,21018
21,19,352,352,100.0,21019
21,20,277,277,100.0,21020
21,21,275,275,100.0,21021
21,22,285,285,100.0,21022
21,23,289,289,100.0,21023
21,24,339,339,100.0,21024
21,25,275,275,100.0,21025
21,26,328,328,100.0,21026
21,27,331,331,100.0,21027
21,28,403,403,100.0,21028
21,29,376,376,100.0,21029
21,30,258,258,100.0,21030
21,31,231,231,100.0,21031
21,32,301,301,100.0,21032
21,33,286,286,100.0,21033
21,34,298,298,100.0,21034
21,35,383,383,100.0,21035
21,36,307,307,100.0,21036
21,37,237,237,100.0,21037
21,38,313,313,100.0,21038
21,39,277,277,100.0,21039
21,40,299,299,100.0,21040
21,41,323,323,100.0,21041
21,42,349,349,100.0,21042
21,43,325,325,100.0,21043
21,44,327,327,100.0,21044
21,45,313,313,100.0,21045
21,46,355,355,100.0,21046
21,47,316,316,100.0,21047
21,48,319,319,100.0,21048
21,49,351,351,100.0,21049
21,50,264,264,100.0,21050
21,51,309,309,100.0,21051
21,52,297,297,100.0,21052
21,53,277,277,100.0,21053
21,54,283,283,100.0,21054
22,1,174,174,100.0,22001
22,2,331,331,100.0,22002
22,3,371,371,100.0,22003
22,4,219,219,100.0,22004
22,5,259,259,100.0,22005
22,6,269,269,100.0,22006
22,7,202,202,100.0,22007
22,8,385,385,100.0,22008
22,9,223,223,100.0,22009
22,10,347,347,100.0,22010
22,11,206,206,100.0,22011
22,12,258,258,100.0,22012
22,13,265,265,100.0,22013
22,14,215,215,100.0,22014
22,15,229,229,100.0,22015
22,16,250,250,100.0,22016
22,17,267,267,100.0,22017
22,18,239,239,100.0,22018
22,19,144,144,100.0,22019
22,20,253,253,100.0,22020
22,21,292,292,100.0,22021
22,22,268,268,100.0,22022
22,23,389,389,100.0,22023
22,24,284,284,100.0,22024
22,25,281,281,100.0,22025
23,1,222,222,100.0,23001
23,2,250,250,100.0,23002
23,3,244,244,100.0,23003
23,4,286,286,100.0,23004
23,5,298,298,100.0,23005
23,6,311,311,100.0,23006
23,7,242,242,100.0,23007
23,8,326,326,100.0,23008
23,9,245,245,100.0,23009
23,10,334,334,100.0,23010
23,11,311,311,100.0,23011
23,12,251,251,100.0,23012
23,13,256,256,100.0,23013
23,14,224,224,100.0,23014
