ward,precinct,total,Bobby L. Rush,Bobby L. Rush Percent,precinct_id
8,33,116,116,100.0,08033
8,34,106,106,100.0,08034
8,35,145,145,100.0,08035
8,37,119,119,100.0,08037
8,38,67,67,100.0,08038
8,40,77,77,100.0,08040
8,41,101,101,100.0,08041
8,43,53,53,100.0,08043
8,44,71,71,100.0,08044
8,45,74,74,100.0,08045
8,47,104,104,100.0,08047
8,48,96,96,100.0,08048
8,49,114,114,100.0,08049
8,50,78,78,100.0,08050
8,51,154,154,100.0,08051
8,52,174,174,100.0,08052
8,54,74,74,100.0,08054
8,55,82,82,100.0,08055
8,56,150,150,100.0,08056
9,12,125,125,100.0,09012
9,23,124,124,100.0,09023
9,24,119,119,100.0,09024
9,25,97,97,100.0,09025
9,36,82,82,100.0,09036
9,42,142,142,100.0,09042
9,47,149,149,100.0,09047
9,48,114,114,100.0,09048
9,49,121,121,100.0,09049
9,50,171,171,100.0,09050
9,51,128,128,100.0,09051
13,19,78,78,100.0,13019
13,41,12,12,100.0,13041
16,6,0,0,0.0,16006
16,9,84,84,100.0,16009
16,27,35,35,100.0,16027
16,28,92,92,100.0,16028
16,30,60,60,100.0,16030
16,31,14,14,100.0,16031
16,34,12,12,100.0,16034
17,1,42,42,100.0,17001
17,2,68,68,100.0,17002
17,3,58,58,100.0,17003
17,4,94,94,100.0,17004
17,5,83,83,100.0,17005
17,6,23,23,100.0,17006
17,8,73,73,100.0,17008
17,9,76,76,100.0,17009
17,10,87,87,100.0,17010
17,11,84,84,100.0,17011
17,12,6,6,100.0,17012
17,15,87,87,100.0,17015
17,16,48,48,100.0,17016
17,17,53,53,100.0,17017
17,18,98,98,100.0,17018
17,20,123,123,100.0,17020
17,21,128,128,100.0,17021
17,22,100,100,100.0,17022
17,23,71,71,100.0,17023
17,24,113,113,100.0,17024
17,25,55,55,100.0,17025
17,26,87,87,100.0,17026
17,27,86,86,100.0,17027
17,28,57,57,100.0,17028
17,29,95,95,100.0,17029
17,30,26,26,100.0,17030
17,32,58,58,100.0,17032
17,33,24,24,100.0,17033
17,34,61,61,100.0,17034
17,35,31,31,100.0,17035
17,36,90,90,100.0,17036
17,37,74,74,100.0,17037
17,38,97,97,100.0,17038
17,39,92,92,100.0,17039
17,40,101,101,100.0,17040
17,41,93,93,100.0,17041
18,1,57,57,100.0,18001
18,2,36,36,100.0,18002
18,3,48,48,100.0,18003
18,4,102,102,100.0,18004
18,5,59,59,100.0,18005
18,6,47,47,100.0,18006
18,7,63,63,100.0,18007
18,8,115,115,100.0,18008
18,9,118,118,100.0,18009
18,10,149,149,100.0,18010
18,11,55,55,100.0,18011
18,12,90,90,100.0,18012
18,13,78,78,100.0,18013
18,14,86,86,100.0,18014
18,15,4,4,100.0,18015
18,16,78,78,100.0,18016
18,17,61,61,100.0,18017
18,18,155,155,100.0,18018
18,19,113,113,100.0,18019
18,20,80,80,100.0,18020
18,21,127,127,100.0,18021
18,22,138,138,100.0,18022
18,23,76,76,100.0,18023
18,26,126,126,100.0,18026
18,27,48,48,100.0,18027
18,28,38,38,100.0,18028
18,29,66,66,100.0,18029
18,31,64,64,100.0,18031
18,32,119,119,100.0,18032
18,33,80,80,100.0,18033
18,34,185,185,100.0,18034
18,35,96,96,100.0,18035
18,36,56,56,100.0,18036
18,37,110,110,100.0,18037
18,38,101,101,100.0,18038
18,39,50,50,100.0,18039
18,41,91,91,100.0,18041
18,42,50,50,100.0,18042
18,44,38,38,100.0,18044
18,45,66,66,100.0,18045
18,47,46,46,100.0,18047
18,48,57,57,100.0,18048
18,49,50,50,100.0,18049
18,50,65,65,100.0,18050
19,2,131,131,100.0,19002
19,5,98,98,100.0,19005
19,7,16,16,100.0,19007
19,10,7,7,100.0,19010
19,11,3,3,100.0,19011
19,13,164,164,100.0,19013
19,14,60,60,100.0,19014
19,20,126,126,100.0,19020
19,25,30,30,100.0,19025
19,27,72,72,100.0,19027
19,28,134,134,100.0,19028
19,31,60,60,100.0,19031
19,36,104,104,100.0,19036
19,37,100,100,100.0,19037
19,38,94,94,100.0,19038
19,39,31,31,100.0,19039
19,40,93,93,100.0,19040
19,42,72,72,100.0,19042
19,43,153,153,100.0,19043
19,47,155,155,100.0,19047
19,48,107,107,100.0,19048
19,49,142,142,100.0,19049
19,57,5,5,100.0,19057
20,1,80,80,100.0,20001
20,3,62,62,100.0,20003
20,5,67,67,100.0,20005
20,7,71,71,100.0,20007
20,8,93,93,100.0,20008
20,9,117,117,100.0,20009
20,10,83,83,100.0,20010
20,11,43,43,100.0,20011
20,12,48,48,100.0,20012
20,13,121,121,100.0,20013
20,14,70,70,100.0,20014
20,16,119,119,100.0,20016
20,18,69,69,100.0,20018
20,19,88,88,100.0,20019
20,22,128,128,100.0,20022
20,23,92,92,100.0,20023
20,24,64,64,100.0,20024
20,26,75,75,100.0,20026
20,27,45,45,100.0,20027
20,28,57,57,100.0,20028
20,29,126,126,100.0,20029
20,30,23,23,100.0,20030
20,31,63,63,100.0,20031
20,33,62,62,100.0,20033
20,34,77,77,100.0,20034
20,35,53,53,100.0,20035
20,37,5,5,100.0,20037
21,1,133,133,100.0,21001
21,2,72,72,100.0,21002
21,3,96,96,100.0,21003
21,4,101,101,100.0,21004
21,5,149,149,100.0,21005
21,6,86,86,100.0,21006
21,7,134,134,100.0,21007
21,8,117,117,100.0,21008
21,9,129,129,100.0,21009
21,10,81,81,100.0,21010
21,11,125,125,100.0,21011
21,12,116,116,100.0,21012
21,13,75,75,100.0,21013
21,14,143,143,100.0,21014
21,15,77,77,100.0,21015
21,16,96,96,100.0,21016
21,17,82,82,100.0,21017
21,18,139,139,100.0,21018
21,19,105,105,100.0,21019
21,20,91,91,100.0,21020
21,21,92,92,100.0,21021
21,22,91,91,100.0,21022
21,23,122,122,100.0,21023
21,24,114,114,100.0,21024
21,25,142,142,100.0,21025
21,26,87,87,100.0,21026
21,27,101,101,100.0,21027
21,28,121,121,100.0,21028
21,29,84,84,100.0,21029
21,30,70,70,100.0,21030
21,31,96,96,100.0,21031
21,32,109,109,100.0,21032
21,33,107,107,100.0,21033
21,34,98,98,100.0,21034
21,35,131,131,100.0,21035
21,36,107,107,100.0,21036
21,37,103,103,100.0,21037
21,38,107,107,100.0,21038
21,39,76,76,100.0,21039
21,40,93,93,100.0,21040
21,41,115,115,100.0,21041
21,42,124,124,100.0,21042
21,43,108,108,100.0,21043
21,44,108,108,100.0,21044
21,45,104,104,100.0,21045
21,46,111,111,100.0,21046
21,47,84,84,100.0,21047
21,48,102,102,100.0,21048
21,49,130,130,100.0,21049
21,50,88,88,100.0,21050
21,51,130,130,100.0,21051
21,52,105,105,100.0,21052
21,53,72,72,100.0,21053
21,54,93,93,100.0,21054
34,1,145,145,100.0,34001
34,2,133,133,100.0,34002
34,3,106,106,100.0,34003
34,5,100,100,100.0,34005
34,6,152,152,100.0,34006
34,7,140,140,100.0,34007
34,8,82,82,100.0,34008
34,9,59,59,100.0,34009
34,10,150,150,100.0,34010
34,11,67,67,100.0,34011
34,12,117,117,100.0,34012
34,13,129,129,100.0,34013
34,14,85,85,100.0,34014
34,15,56,56,100.0,34015
34,16,80,80,100.0,34016
34,17,112,112,100.0,34017
34,19,87,87,100.0,34019
34,20,165,165,100.0,34020
34,21,175,175,100.0,34021
34,22,17,17,100.0,34022
34,25,146,146,100.0,34025
34,26,113,113,100.0,34026
34,29,74,74,100.0,34029
34,30,108,108,100.0,34030
34,31,111,111,100.0,34031
34,32,116,116,100.0,34032
34,33,85,85,100.0,34033
34,34,130,130,100.0,34034
34,35,90,90,100.0,34035
34,40,117,117,100.0,34040
34,41,13,13,100.0,34041
34,42,125,125,100.0,34042
34,43,132,132,100.0,34043
34,44,125,125,100.0,34044
34,45,131,131,100.0,34045
34,46,94,94,100.0,34046
34,47,76,76,100.0,34047
34,48,138,138,100.0,34048
34,49,120,120,100.0,34049
34,50,79,79,100.0,34050
34,51,125,125,100.0,34051
34,52,126,126,100.0,34052
