ward,precinct,total,Thomas More Donnelly,Thomas More Donnelly Percent,precinct_id
4,11,555,555,100.0,04011
4,12,357,357,100.0,04012
4,13,357,357,100.0,04013
4,14,348,348,100.0,04014
4,15,322,322,100.0,04015
4,16,449,449,100.0,04016
4,17,598,598,100.0,04017
4,18,172,172,100.0,04018
4,19,393,393,100.0,04019
4,20,557,557,100.0,04020
4,21,356,356,100.0,04021
4,22,187,187,100.0,04022
4,23,333,333,100.0,04023
4,24,640,640,100.0,04024
4,25,774,774,100.0,04025
4,26,653,653,100.0,04026
4,27,753,753,100.0,04027
4,28,780,780,100.0,04028
5,1,526,526,100.0,05001
5,2,618,618,100.0,05002
5,3,561,561,100.0,05003
5,4,440,440,100.0,05004
5,5,276,276,100.0,05005
5,6,236,236,100.0,05006
5,7,129,129,100.0,05007
5,8,170,170,100.0,05008
5,9,157,157,100.0,05009
5,10,279,279,100.0,05010
5,11,355,355,100.0,05011
5,12,607,607,100.0,05012
5,13,270,270,100.0,05013
5,14,292,292,100.0,05014
5,15,878,878,100.0,05015
5,16,541,541,100.0,05016
5,17,407,407,100.0,05017
5,18,788,788,100.0,05018
5,19,356,356,100.0,05019
5,20,608,608,100.0,05020
5,21,507,507,100.0,05021
5,22,574,574,100.0,05022
5,23,331,331,100.0,05023
5,24,375,375,100.0,05024
5,25,808,808,100.0,05025
6,1,171,171,100.0,06001
6,2,218,218,100.0,06002
6,3,63,63,100.0,06003
6,4,163,163,100.0,06004
6,5,291,291,100.0,06005
6,6,269,269,100.0,06006
6,7,323,323,100.0,06007
6,8,247,247,100.0,06008
6,9,513,513,100.0,06009
6,10,324,324,100.0,06010
6,11,161,161,100.0,06011
6,12,344,344,100.0,06012
6,13,457,457,100.0,06013
6,14,428,428,100.0,06014
6,15,443,443,100.0,06015
6,16,284,284,100.0,06016
6,17,522,522,100.0,06017
6,18,581,581,100.0,06018
6,19,373,373,100.0,06019
6,20,630,630,100.0,06020
6,21,470,470,100.0,06021
6,22,663,663,100.0,06022
6,23,613,613,100.0,06023
6,24,536,536,100.0,06024
6,25,409,409,100.0,06025
6,26,697,697,100.0,06026
6,27,649,649,100.0,06027
7,1,483,483,100.0,07001
7,2,617,617,100.0,07002
7,3,326,326,100.0,07003
7,4,436,436,100.0,07004
7,5,528,528,100.0,07005
7,6,147,147,100.0,07006
7,7,352,352,100.0,07007
7,8,216,216,100.0,07008
7,9,337,337,100.0,07009
7,10,496,496,100.0,07010
7,11,453,453,100.0,07011
7,12,506,506,100.0,07012
7,13,351,351,100.0,07013
7,14,325,325,100.0,07014
7,15,469,469,100.0,07015
7,16,162,162,100.0,07016
7,17,128,128,100.0,07017
7,18,71,71,100.0,07018
7,19,623,623,100.0,07019
7,20,333,333,100.0,07020
7,21,258,258,100.0,07021
7,22,306,306,100.0,07022
7,23,206,206,100.0,07023
7,24,62,62,100.0,07024
7,25,327,327,100.0,07025
7,26,470,470,100.0,07026
7,27,285,285,100.0,07027
7,28,176,176,100.0,07028
7,29,248,248,100.0,07029
7,30,240,240,100.0,07030
7,31,113,113,100.0,07031
8,1,503,503,100.0,08001
8,2,252,252,100.0,08002
8,3,201,201,100.0,08003
8,4,485,485,100.0,08004
8,5,327,327,100.0,08005
8,6,557,557,100.0,08006
8,7,341,341,100.0,08007
8,8,694,694,100.0,08008
8,9,437,437,100.0,08009
8,10,501,501,100.0,08010
8,11,400,400,100.0,08011
8,12,475,475,100.0,08012
8,13,454,454,100.0,08013
8,14,512,512,100.0,08014
8,15,383,383,100.0,08015
8,16,361,361,100.0,08016
8,17,606,606,100.0,08017
8,18,818,818,100.0,08018
8,19,642,642,100.0,08019
8,20,285,285,100.0,08020
8,21,322,322,100.0,08021
8,22,223,223,100.0,08022
8,23,685,685,100.0,08023
8,24,429,429,100.0,08024
8,25,178,178,100.0,08025
8,26,330,330,100.0,08026
8,27,463,463,100.0,08027
8,28,302,302,100.0,08028
8,29,442,442,100.0,08029
8,30,402,402,100.0,08030
9,1,496,496,100.0,09001
9,2,348,348,100.0,09002
9,3,173,173,100.0,09003
9,4,360,360,100.0,09004
9,5,363,363,100.0,09005
9,6,616,616,100.0,09006
9,7,484,484,100.0,09007
9,8,474,474,100.0,09008
9,9,283,283,100.0,09009
9,10,591,591,100.0,09010
9,11,204,204,100.0,09011
9,12,542,542,100.0,09012
9,13,495,495,100.0,09013
9,14,288,288,100.0,09014
9,15,387,387,100.0,09015
9,16,527,527,100.0,09016
9,17,153,153,100.0,09017
9,18,264,264,100.0,09018
9,19,228,228,100.0,09019
9,20,396,396,100.0,09020
9,21,480,480,100.0,09021
9,22,338,338,100.0,09022
9,23,259,259,100.0,09023
9,24,402,402,100.0,09024
9,25,317,317,100.0,09025
9,26,443,443,100.0,09026
9,27,247,247,100.0,09027
9,28,194,194,100.0,09028
9,29,591,591,100.0,09029
9,30,493,493,100.0,09030
10,1,126,126,100.0,10001
10,2,146,146,100.0,10002
10,3,243,243,100.0,10003
10,4,278,278,100.0,10004
10,5,99,99,100.0,10005
10,6,132,132,100.0,10006
10,7,233,233,100.0,10007
10,8,224,224,100.0,10008
10,9,273,273,100.0,10009
10,10,269,269,100.0,10010
10,11,100,100,100.0,10011
10,12,270,270,100.0,10012
10,13,295,295,100.0,10013
10,14,371,371,100.0,10014
10,15,309,309,100.0,10015
10,16,381,381,100.0,10016
10,17,326,326,100.0,10017
10,18,386,386,100.0,10018
10,19,257,257,100.0,10019
10,20,162,162,100.0,10020
10,21,198,198,100.0,10021
10,22,343,343,100.0,10022
10,23,289,289,100.0,10023
10,24,130,130,100.0,10024
10,25,213,213,100.0,10025
11,1,136,136,100.0,11001
11,2,71,71,100.0,11002
11,3,384,384,100.0,11003
11,4,267,267,100.0,11004
11,5,282,282,100.0,11005
11,6,362,362,100.0,11006
11,7,191,191,100.0,11007
11,8,300,300,100.0,11008
11,9,357,357,100.0,11009
11,10,54,54,100.0,11010
11,11,47,47,100.0,11011
11,12,108,108,100.0,11012
11,13,311,311,100.0,11013
11,14,599,599,100.0,11014
11,15,466,466,100.0,11015
11,16,545,545,100.0,11016
11,17,231,231,100.0,11017
11,18,348,348,100.0,11018
11,19,110,110,100.0,11019
11,20,326,326,100.0,11020
11,21,520,520,100.0,11021
11,22,332,332,100.0,11022
11,23,366,366,100.0,11023
12,1,211,211,100.0,12001
12,2,154,154,100.0,12002
12,3,297,297,100.0,12003
12,4,250,250,100.0,12004
12,5,233,233,100.0,12005
12,6,213,213,100.0,12006
12,7,230,230,100.0,12007
12,8,205,205,100.0,12008
12,9,108,108,100.0,12009
12,10,236,236,100.0,12010
12,11,183,183,100.0,12011
12,12,152,152,100.0,12012
12,13,171,171,100.0,12013
12,14,202,202,100.0,12014
12,15,224,224,100.0,12015
12,16,244,244,100.0,12016
12,17,211,211,100.0,12017
12,18,254,254,100.0,12018
12,19,128,128,100.0,12019
12,20,184,184,100.0,12020
12,21,187,187,100.0,12021
12,22,175,175,100.0,12022
13,1,205,205,100.0,13001
13,2,229,229,100.0,13002
13,3,264,264,100.0,13003
13,4,272,272,100.0,13004
13,5,203,203,100.0,13005
13,6,225,225,100.0,13006
13,7,199,199,100.0,13007
13,8,300,300,100.0,13008
13,9,301,301,100.0,13009
13,10,284,284,100.0,13010
13,11,164,164,100.0,13011
13,12,173,173,100.0,13012
13,13,204,204,100.0,13013
13,14,208,208,100.0,13014
13,15,203,203,100.0,13015
13,16,271,271,100.0,13016
13,17,307,307,100.0,13017
13,18,196,196,100.0,13018
13,19,168,168,100.0,13019
13,20,237,237,100.0,13020
13,21,209,209,100.0,13021
13,22,304,304,100.0,13022
13,23,234,234,100.0,13023
13,24,226,226,100.0,13024
13,25,231,231,100.0,13025
13,26,193,193,100.0,13026
13,27,157,157,100.0,13027
13,28,195,195,100.0,13028
13,29,187,187,100.0,13029
13,30,234,234,100.0,13030
13,31,170,170,100.0,13031
13,32,178,178,100.0,13032
13,33,220,220,100.0,13033
13,34,273,273,100.0,13034
13,35,347,347,100.0,13035
13,36,146,146,100.0,13036
13,37,248,248,100.0,13037
13,38,158,158,100.0,13038
13,39,259,259,100.0,13039
13,40,207,207,100.0,13040
14,1,356,356,100.0,14001
14,2,229,229,100.0,14002
14,3,149,149,100.0,14003
14,4,79,79,100.0,14004
14,5,276,276,100.0,14005
14,6,348,348,100.0,14006
14,7,338,338,100.0,14007
14,8,319,319,100.0,14008
14,9,333,333,100.0,14009
14,10,317,317,100.0,14010
14,11,356,356,100.0,14011
14,12,225,225,100.0,14012
14,13,388,388,100.0,14013
14,14,188,188,100.0,14014
14,15,197,197,100.0,14015
15,1,170,170,100.0,15001
15,2,255,255,100.0,15002
15,3,108,108,100.0,15003
15,4,152,152,100.0,15004
15,5,182,182,100.0,15005
15,6,215,215,100.0,15006
15,7,147,147,100.0,15007
15,8,187,187,100.0,15008
15,9,216,216,100.0,15009
15,10,185,185,100.0,15010
15,11,174,174,100.0,15011
15,12,227,227,100.0,15012
15,13,159,159,100.0,15013
15,14,181,181,100.0,15014
15,15,182,182,100.0,15015
15,16,277,277,100.0,15016
15,17,323,323,100.0,15017
15,18,241,241,100.0,15018
15,19,154,154,100.0,15019
15,20,195,195,100.0,15020
16,1,284,284,100.0,16001
16,2,180,180,100.0,16002
16,3,248,248,100.0,16003
16,4,149,149,100.0,16004
16,5,323,323,100.0,16005
16,6,312,312,100.0,16006
16,7,177,177,100.0,16007
16,8,134,134,100.0,16008
16,9,297,297,100.0,16009
16,10,241,241,100.0,16010
16,11,193,193,100.0,16011
16,12,86,86,100.0,16012
16,13,120,120,100.0,16013
16,14,318,318,100.0,16014
16,15,256,256,100.0,16015
16,16,196,196,100.0,16016
16,17,372,372,100.0,16017
16,18,347,347,100.0,16018
16,19,253,253,100.0,16019
16,20,269,269,100.0,16020
16,21,179,179,100.0,16021
16,22,274,274,100.0,16022
16,23,177,177,100.0,16023
16,24,207,207,100.0,16024
16,25,109,109,100.0,16025
17,1,328,328,100.0,17001
17,2,210,210,100.0,17002
17,3,269,269,100.0,17003
17,4,263,263,100.0,17004
17,5,170,170,100.0,17005
17,6,255,255,100.0,17006
17,7,146,146,100.0,17007
17,8,199,199,100.0,17008
17,9,196,196,100.0,17009
17,10,386,386,100.0,17010
17,11,241,241,100.0,17011
17,12,153,153,100.0,17012
17,13,163,163,100.0,17013
17,14,167,167,100.0,17014
17,15,465,465,100.0,17015
17,16,215,215,100.0,17016
17,17,185,185,100.0,17017
17,18,566,566,100.0,17018
17,19,392,392,100.0,17019
17,20,358,358,100.0,17020
17,21,442,442,100.0,17021
17,22,428,428,100.0,17022
17,23,270,270,100.0,17023
17,24,450,450,100.0,17024
17,25,201,201,100.0,17025
17,26,391,391,100.0,17026
17,27,454,454,100.0,17027
17,28,545,545,100.0,17028
17,29,483,483,100.0,17029
18,1,565,565,100.0,18001
18,2,611,611,100.0,18002
18,3,252,252,100.0,18003
18,4,450,450,100.0,18004
18,5,364,364,100.0,18005
18,6,669,669,100.0,18006
18,7,506,506,100.0,18007
18,8,753,753,100.0,18008
18,9,594,594,100.0,18009
18,10,680,680,100.0,18010
18,11,406,406,100.0,18011
18,12,605,605,100.0,18012
18,13,488,488,100.0,18013
18,14,378,378,100.0,18014
18,15,269,269,100.0,18015
18,16,436,436,100.0,18016
18,17,309,309,100.0,18017
18,18,391,391,100.0,18018
18,19,351,351,100.0,18019
18,20,307,307,100.0,18020
18,21,439,439,100.0,18021
18,22,385,385,100.0,18022
18,23,432,432,100.0,18023
18,24,505,505,100.0,18024
18,25,251,251,100.0,18025
18,26,468,468,100.0,18026
19,1,539,539,100.0,19001
19,2,621,621,100.0,19002
19,3,276,276,100.0,19003
19,4,316,316,100.0,19004
19,5,486,486,100.0,19005
19,6,327,327,100.0,19006
19,7,501,501,100.0,19007
19,8,506,506,100.0,19008
19,9,444,444,100.0,19009
19,10,442,442,100.0,19010
19,11,294,294,100.0,19011
19,12,411,411,100.0,19012
19,13,437,437,100.0,19013
19,14,555,555,100.0,19014
19,15,243,243,100.0,19015
19,16,320,320,100.0,19016
19,17,331,331,100.0,19017
19,18,267,267,100.0,19018
19,19,497,497,100.0,19019
19,20,424,424,100.0,19020
19,21,435,435,100.0,19021
19,22,458,458,100.0,19022
19,23,327,327,100.0,19023
19,24,288,288,100.0,19024
19,25,441,441,100.0,19025
19,26,377,377,100.0,19026
19,27,644,644,100.0,19027
19,28,813,813,100.0,19028
19,29,401,401,100.0,19029
19,30,282,282,100.0,19030
19,31,643,643,100.0,19031
19,32,445,445,100.0,19032
19,33,201,201,100.0,19033
19,34,615,615,100.0,19034
19,35,473,473,100.0,19035
19,36,376,376,100.0,19036
20,1,193,193,100.0,20001
20,2,108,108,100.0,20002
20,3,140,140,100.0,20003
20,4,109,109,100.0,20004
20,5,207,207,100.0,20005
20,6,131,131,100.0,20006
20,7,190,190,100.0,20007
20,8,201,201,100.0,20008
20,9,398,398,100.0,20009
20,10,434,434,100.0,20010
20,11,352,352,100.0,20011
20,12,74,74,100.0,20012
20,13,619,619,100.0,20013
20,14,383,383,100.0,20014
20,15,352,352,100.0,20015
20,16,373,373,100.0,20016
20,17,464,464,100.0,20017
20,18,560,560,100.0,20018
20,19,310,310,100.0,20019
20,20,406,406,100.0,20020
20,21,532,532,100.0,20021
20,22,448,448,100.0,20022
20,23,167,167,100.0,20023
21,1,541,541,100.0,21001
21,2,168,168,100.0,21002
21,3,606,606,100.0,21003
21,4,500,500,100.0,21004
21,5,537,537,100.0,21005
21,6,427,427,100.0,21006
21,7,623,623,100.0,21007
21,8,503,503,100.0,21008
21,9,178,178,100.0,21009
21,10,569,569,100.0,21010
21,11,583,583,100.0,21011
21,12,270,270,100.0,21012
21,13,435,435,100.0,21013
21,14,638,638,100.0,21014
21,15,628,628,100.0,21015
21,16,547,547,100.0,21016
21,17,423,423,100.0,21017
21,18,595,595,100.0,21018
21,19,519,519,100.0,21019
21,20,417,417,100.0,21020
21,21,582,582,100.0,21021
21,22,609,609,100.0,21022
21,23,435,435,100.0,21023
21,24,444,444,100.0,21024
21,25,353,353,100.0,21025
21,26,406,406,100.0,21026
21,27,565,565,100.0,21027
21,28,509,509,100.0,21028
21,29,533,533,100.0,21029
22,1,160,160,100.0,22001
22,2,104,104,100.0,22002
22,3,208,208,100.0,22003
22,4,123,123,100.0,22004
22,5,333,333,100.0,22005
22,6,169,169,100.0,22006
22,7,191,191,100.0,22007
22,8,203,203,100.0,22008
22,9,205,205,100.0,22009
22,10,252,252,100.0,22010
22,11,297,297,100.0,22011
22,12,189,189,100.0,22012
22,13,250,250,100.0,22013
22,14,201,201,100.0,22014
22,15,119,119,100.0,22015
22,16,247,247,100.0,22016
22,17,125,125,100.0,22017
22,18,247,247,100.0,22018
22,19,358,358,100.0,22019
23,1,175,175,100.0,23001
23,2,293,293,100.0,23002
23,3,186,186,100.0,23003
23,4,135,135,100.0,23004
23,5,259,259,100.0,23005
23,6,129,129,100.0,23006
23,7,201,201,100.0,23007
23,8,191,191,100.0,23008
23,9,324,324,100.0,23009
23,10,363,363,100.0,23010
23,11,154,154,100.0,23011
23,12,216,216,100.0,23012
23,13,386,386,100.0,23013
23,14,285,285,100.0,23014
23,15,316,316,100.0,23015
23,16,167,167,100.0,23016
23,17,228,228,100.0,23017
23,18,195,195,100.0,23018
23,19,155,155,100.0,23019
23,20,155,155,100.0,23020
23,21,146,146,100.0,23021
23,22,161,161,100.0,23022
23,23,148,148,100.0,23023
23,24,159,159,100.0,23024
23,25,131,131,100.0,23025
23,26,101,101,100.0,23026
23,27,140,140,100.0,23027
23,28,199,199,100.0,23028
23,29,267,267,100.0,23029
23,30,161,161,100.0,23030
23,31,199,199,100.0,23031
23,32,154,154,100.0,23032
23,33,333,333,100.0,23033
24,1,178,178,100.0,24001
24,2,176,176,100.0,24002
24,3,361,361,100.0,24003
24,4,279,279,100.0,24004
24,5,483,483,100.0,24005
24,6,296,296,100.0,24006
24,7,155,155,100.0,24007
24,8,206,206,100.0,24008
24,9,378,378,100.0,24009
24,10,273,273,100.0,24010
24,11,361,361,100.0,24011
24,12,382,382,100.0,24012
24,13,372,372,100.0,24013
24,14,274,274,100.0,24014
24,15,330,330,100.0,24015
24,16,405,405,100.0,24016
24,17,239,239,100.0,24017
24,18,379,379,100.0,24018
24,19,825,825,100.0,24019
25,1,279,279,100.0,25001
25,2,193,193,100.0,25002
25,3,257,257,100.0,25003
25,4,327,327,100.0,25004
25,5,453,453,100.0,25005
25,6,438,438,100.0,25006
25,7,413,413,100.0,25007
25,8,425,425,100.0,25008
25,9,437,437,100.0,25009
25,10,475,475,100.0,25010
25,11,432,432,100.0,25011
25,12,396,396,100.0,25012
25,13,574,574,100.0,25013
25,14,569,569,100.0,25014
25,15,446,446,100.0,25015
25,16,557,557,100.0,25016
25,17,245,245,100.0,25017
26,1,180,180,100.0,26001
26,2,231,231,100.0,26002
26,3,408,408,100.0,26003
26,4,238,238,100.0,26004
26,5,317,317,100.0,26005
26,6,196,196,100.0,26006
26,7,308,308,100.0,26007
26,8,219,219,100.0,26008
26,9,199,199,100.0,26009
26,10,243,243,100.0,26010
26,11,237,237,100.0,26011
26,12,90,90,100.0,26012
26,13,197,197,100.0,26013
26,14,144,144,100.0,26014
26,15,160,160,100.0,26015
26,16,377,377,100.0,26016
26,17,352,352,100.0,26017
26,18,166,166,100.0,26018
26,19,399,399,100.0,26019
26,20,418,418,100.0,26020
26,21,169,169,100.0,26021
26,22,148,148,100.0,26022
26,23,323,323,100.0,26023
26,24,153,153,100.0,26024
26,25,354,354,100.0,26025
26,26,374,374,100.0,26026
26,27,415,415,100.0,26027
26,28,395,395,100.0,26028
26,29,356,356,100.0,26029
26,30,210,210,100.0,26030
26,31,226,226,100.0,26031
26,32,328,328,100.0,26032
27,1,406,406,100.0,27001
27,2,572,572,100.0,27002
27,3,294,294,100.0,27003
27,4,417,417,100.0,27004
27,5,242,242,100.0,27005
27,6,548,548,100.0,27006
27,7,677,677,100.0,27007
27,8,158,158,100.0,27008
27,9,495,495,100.0,27009
27,10,277,277,100.0,27010
27,11,497,497,100.0,27011
27,12,350,350,100.0,27012
27,13,404,404,100.0,27013
27,14,323,323,100.0,27014
27,15,400,400,100.0,27015
27,16,574,574,100.0,27016
27,17,201,201,100.0,27017
27,18,481,481,100.0,27018
27,19,137,137,100.0,27019
27,20,288,288,100.0,27020
27,21,201,201,100.0,27021
27,22,296,296,100.0,27022
27,23,257,257,100.0,27023
27,24,158,158,100.0,27024
27,25,363,363,100.0,27025
27,26,412,412,100.0,27026
27,27,290,290,100.0,27027
27,28,346,346,100.0,27028
27,29,659,659,100.0,27029
28,1,230,230,100.0,28001
28,2,246,246,100.0,28002
28,3,68,68,100.0,28003
28,4,193,193,100.0,28004
28,5,179,179,100.0,28005
28,6,335,335,100.0,28006
28,7,136,136,100.0,28007
28,8,314,314,100.0,28008
28,9,166,166,100.0,28009
28,10,112,112,100.0,28010
28,11,463,463,100.0,28011
28,12,573,573,100.0,28012
28,13,454,454,100.0,28013
28,14,382,382,100.0,28014
28,15,223,223,100.0,28015
28,16,469,469,100.0,28016
28,17,258,258,100.0,28017
28,18,288,288,100.0,28018
28,19,295,295,100.0,28019
28,20,243,243,100.0,28020
28,21,265,265,100.0,28021
28,22,205,205,100.0,28022
28,23,289,289,100.0,28023
28,24,231,231,100.0,28024
28,25,439,439,100.0,28025
28,26,144,144,100.0,28026
29,1,372,372,100.0,29001
29,2,320,320,100.0,29002
29,3,303,303,100.0,29003
29,4,311,311,100.0,29004
29,5,339,339,100.0,29005
29,6,311,311,100.0,29006
29,7,526,526,100.0,29007
29,8,753,753,100.0,29008
29,9,312,312,100.0,29009
29,10,450,450,100.0,29010
29,11,377,377,100.0,29011
29,12,486,486,100.0,29012
29,13,492,492,100.0,29013
29,14,402,402,100.0,29014
29,15,378,378,100.0,29015
29,16,445,445,100.0,29016
29,17,306,306,100.0,29017
29,18,418,418,100.0,29018
29,19,491,491,100.0,29019
29,20,263,263,100.0,29020
29,21,315,315,100.0,29021
29,22,464,464,100.0,29022
29,23,450,450,100.0,29023
29,24,347,347,100.0,29024
30,1,411,411,100.0,30001
30,2,281,281,100.0,30002
30,3,405,405,100.0,30003
30,4,282,282,100.0,30004
30,5,315,315,100.0,30005
30,6,367,367,100.0,30006
30,7,263,263,100.0,30007
30,8,483,483,100.0,30008
30,9,378,378,100.0,30009
30,10,327,327,100.0,30010
30,11,275,275,100.0,30011
30,12,348,348,100.0,30012
30,13,291,291,100.0,30013
30,14,331,331,100.0,30014
30,15,528,528,100.0,30015
30,16,242,242,100.0,30016
30,17,377,377,100.0,30017
30,18,341,341,100.0,30018
30,19,214,214,100.0,30019
30,20,264,264,100.0,30020
30,21,416,416,100.0,30021
30,22,423,423,100.0,30022
30,23,458,458,100.0,30023
30,24,370,370,100.0,30024
30,25,241,241,100.0,30025
30,26,469,469,100.0,30026
31,1,258,258,100.0,31001
31,2,421,421,100.0,31002
31,3,223,223,100.0,31003
31,4,295,295,100.0,31004
31,5,246,246,100.0,31005
31,6,208,208,100.0,31006
31,7,245,245,100.0,31007
31,8,344,344,100.0,31008
31,9,218,218,100.0,31009
31,10,362,362,100.0,31010
31,11,335,335,100.0,31011
31,12,403,403,100.0,31012
31,13,307,307,100.0,31013
31,14,293,293,100.0,31014
31,15,135,135,100.0,31015
31,16,181,181,100.0,31016
31,17,241,241,100.0,31017
31,18,203,203,100.0,31018
31,19,259,259,100.0,31019
31,20,236,236,100.0,31020
31,21,244,244,100.0,31021
31,22,123,123,100.0,31022
31,23,133,133,100.0,31023
32,1,948,948,100.0,32001
32,2,741,741,100.0,32002
32,3,523,523,100.0,32003
32,4,521,521,100.0,32004
32,5,418,418,100.0,32005
32,6,252,252,100.0,32006
32,7,535,535,100.0,32007
32,8,377,377,100.0,32008
32,9,362,362,100.0,32009
32,10,707,707,100.0,32010
32,11,432,432,100.0,32011
32,12,256,256,100.0,32012
32,13,165,165,100.0,32013
32,14,800,800,100.0,32014
32,15,759,759,100.0,32015
32,16,382,382,100.0,32016
32,17,720,720,100.0,32017
32,18,286,286,100.0,32018
32,19,335,335,100.0,32019
32,20,710,710,100.0,32020
32,21,743,743,100.0,32021
32,22,714,714,100.0,32022
32,23,488,488,100.0,32023
32,24,242,242,100.0,32024
32,25,513,513,100.0,32025
32,26,695,695,100.0,32026
32,27,749,749,100.0,32027
32,28,194,194,100.0,32028
32,29,560,560,100.0,32029
32,30,716,716,100.0,32030
33,1,739,739,100.0,33001
33,2,823,823,100.0,33002
33,3,545,545,100.0,33003
33,4,753,753,100.0,33004
33,5,611,611,100.0,33005
33,6,653,653,100.0,33006
33,7,636,636,100.0,33007
33,8,447,447,100.0,33008
33,9,448,448,100.0,33009
33,10,463,463,100.0,33010
33,11,378,378,100.0,33011
33,12,578,578,100.0,33012
33,13,496,496,100.0,33013
33,14,691,691,100.0,33014
33,15,509,509,100.0,33015
33,16,659,659,100.0,33016
33,17,605,605,100.0,33017
34,1,502,502,100.0,34001
34,2,293,293,100.0,34002
34,3,702,702,100.0,34003
34,4,371,371,100.0,34004
34,5,680,680,100.0,34005
34,6,466,466,100.0,34006
34,7,218,218,100.0,34007
34,8,377,377,100.0,34008
34,9,689,689,100.0,34009
34,10,280,280,100.0,34010
34,11,479,479,100.0,34011
34,12,491,491,100.0,34012
34,13,566,566,100.0,34013
34,14,540,540,100.0,34014
34,15,461,461,100.0,34015
34,16,745,745,100.0,34016
34,17,677,677,100.0,34017
34,18,622,622,100.0,34018
34,19,476,476,100.0,34019
34,20,604,604,100.0,34020
35,1,157,157,100.0,35001
35,2,388,388,100.0,35002
35,3,311,311,100.0,35003
35,4,474,474,100.0,35004
35,5,640,640,100.0,35005
35,6,919,919,100.0,35006
35,7,630,630,100.0,35007
35,8,409,409,100.0,35008
35,9,762,762,100.0,35009
35,10,464,464,100.0,35010
35,11,624,624,100.0,35011
35,12,795,795,100.0,35012
35,13,520,520,100.0,35013
35,14,442,442,100.0,35014
35,15,589,589,100.0,35015
35,16,797,797,100.0,35016
35,17,514,514,100.0,35017
35,18,342,342,100.0,35018
35,19,492,492,100.0,35019
35,20,295,295,100.0,35020
35,21,457,457,100.0,35021
35,22,602,602,100.0,35022
36,1,221,221,100.0,36001
36,2,276,276,100.0,36002
36,3,228,228,100.0,36003
36,4,283,283,100.0,36004
36,5,231,231,100.0,36005
36,6,193,193,100.0,36006
36,7,162,162,100.0,36007
36,8,118,118,100.0,36008
36,9,367,367,100.0,36009
36,10,253,253,100.0,36010
36,11,180,180,100.0,36011
36,12,143,143,100.0,36012
36,13,79,79,100.0,36013
36,14,247,247,100.0,36014
36,15,120,120,100.0,36015
36,16,95,95,100.0,36016
36,17,369,369,100.0,36017
36,18,421,421,100.0,36018
36,19,551,551,100.0,36019
36,20,613,613,100.0,36020
36,21,392,392,100.0,36021
36,22,529,529,100.0,36022
36,23,464,464,100.0,36023
36,24,497,497,100.0,36024
36,25,559,559,100.0,36025
36,26,509,509,100.0,36026
36,27,594,594,100.0,36027
37,1,350,350,100.0,37001
37,2,297,297,100.0,37002
