ward,precinct,total,Michael Braboy,Michael Braboy Percent,precinct_id
3,1,0,0,0.0,03001
3,2,1,1,100.0,03002
3,3,1,1,100.0,03003
3,4,0,0,0.0,03004
3,5,0,0,0.0,03005
3,6,0,0,0.0,03006
3,7,0,0,0.0,03007
3,8,4,4,100.0,03008
3,9,0,0,0.0,03009
3,10,1,1,100.0,03010
3,11,1,1,100.0,03011
3,12,0,0,0.0,03012
3,13,0,0,0.0,03013
3,14,0,0,0.0,03014
3,15,0,0,0.0,03015
3,16,0,0,0.0,03016
3,17,1,1,100.0,03017
3,18,0,0,0.0,03018
3,19,0,0,0.0,03019
3,20,2,2,100.0,03020
3,21,1,1,100.0,03021
3,22,1,1,100.0,03022
3,23,1,1,100.0,03023
3,24,0,0,0.0,03024
3,25,1,1,100.0,03025
3,26,0,0,0.0,03026
3,27,0,0,0.0,03027
3,28,0,0,0.0,03028
3,29,0,0,0.0,03029
3,30,0,0,0.0,03030
3,31,0,0,0.0,03031
3,32,1,1,100.0,03032
3,33,2,2,100.0,03033
3,34,0,0,0.0,03034
3,35,2,2,100.0,03035
3,36,0,0,0.0,03036
3,37,2,2,100.0,03037
3,38,0,0,0.0,03038
3,39,0,0,0.0,03039
3,40,1,1,100.0,03040
3,41,0,0,0.0,03041
